Cancha ID  0= Fulbo Stadium.  1= Cementerio.  2= Playa.	Size	My Team Qty	Equipo	ID Players	ID GK	referi_id	Tiempo de juego	Positions	coin price	abreviacion (name)	color remera 1	color remera 2	color shorts	color shoes	pinball	designID (pattern)	diseño escudo (shape)	logo (icon)	GK - ACCURACY	GK - STAMINA	GK - SPEED	GK - DEXTERITY	GK - TRICKERY	DEF - ACCURACY	DEF - STAMINA	DEF - SPEED	DEF - DEXTERITY	DEF - TRICKERY	MID - ACCURACY	MID - STAMINA	MID - SPEED	MID - DEXTERITY	MID - TRICKERY	FOR - ACCURACY	FOR - STAMINA	FOR - SPEED	FOR - DEXTERITY	FOR - TRICKERY	Fulbo Win Prize	unlock Condition Text	unlock Condition Code		
0	medium	8	Dog Run	138,135,119,120,89,84,35	17	6	120	2	22	DG	verde	violeta	verde	violeta	0	2	3	1	15	10	9	25	27	18	12	9	15	21	15	21	9	22	23	12	10	9	15	15	455	Beat level 9 in this stadium	win.9		
0	medium	8	Anti-Nerds	128,98,65,51,58,29,129	12	5	120	1	24	AN	blanco	blanco	blanco	negro	0	3	1	1	15	20	10	15	20	10	21	8	15	21	15	20	13	17	25	13	18	10	16	20	478	Beat level 10 in this stadium.	win.10		
0	medium	8	Killer Queens	50,44,18,21,19,8,12	5	2	120	2	25	KQ	violeta	rosa	blanco	violeta	0	2	4	1	18	20	11	19	18	10	15	11	18	18	18	16	12	20	21	20	17	12	20	20	500	Beat level 11 in this stadium.	win.11		
0	large	11	Wholesome Eleven	136,137,138,143,128,100,82,63,39,21	4	7	150	1	27	WE	rojo	blanco	blanco	rojo	0	1	4	4	17	20	13	15	17	13	18	12	20	17	17	20	15	15	15	23	20	13	19	19	553	Beat level 12 in this stadium.	win.12		
0	large	11	Hungry Rebellion	138,79,78,52,37,5,59,132,130,137	9	6	150	3	29	HR	violeta	negro	violeta	verde	0	3	3	7	13	15	14	19	12	14	20	14	20	21	20	15	12	21	24	25	20	14	15	16	575	Beat level 13 in this stadium.	win.13		
0	large	11	Hairdressers' Sons	10,49,50,59,75,116,127,126,92,95	7	5	150	2	30	HS	rosa	azul	negro	negro	0	1	4	0	20	15	15	20	20	20	12	15	24	24	20	10	15	30	15	25	20	16	25	18	598	Beat level 14 in this stadium.	win.14		
1	small	5	Toxic Vomit FC	85,86,87,88	18	4	60	1	23	TV	negro	verde	verde	negro	0	2	2	3	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	445	Beat all levels in the Fulbo $tadium	Unlocked		
1	small	5	Wasteland Slashers	128, 65, 15, 2	10	2	90	4	25	PAS	naranja	naranja	blanco	mandarina	0	3	1	3	24	24	5	20	27	30	30	5	24	24	24	24	5	23	24	24	24	5	10	20	490	Beat level 1 in this stadium.	win.1		
1	medium	8	Horror Party	134,135,132,128,129,130,127	10	6	120	40	30	HP	naranja	rosa	celeste	mandarina	0	1	2	1	15	28	10	26	28	26	28	10	28	35	28	28	10	26	30	30	28	10	32	39	595	Beat level 2 in this stadium.	win.2		
1	large	11	Mooners	72,68,72,72,70,72,69,72,72,71	20	7	150	1	35	MN	blanco	blanco	celeste	blanco	0	2	1	2	25	30	15	13	15	21	21	15	20	35	30	21	15	20	35	40	30	15	25	59	700	Beat level 3 in this stadium.	win.3		
1	small	5	Out of Earth	143,123,125,124	6	6	90	5	32	OE	violeta	negro	violeta	negro	0	3	1	3	30	20	35	30	20	20	30	20	15	35	30	32	20	20	35	45	20	25	30	56	625	Beat level 4 by outscoring the opposition by 2 or more goals.	win.4+goals.2		
1	small	5	Inconspicuous Fulbomasters	79,80,70,78	1	2	90	3	34	IF	celeste	negro	blanco	negro	0	1	1	4	30	38	40	40	32	25	32	20	35	48	28	34	20	30	48	48	32	25	28	51	670	Beat level 5 in this stadium.	win.5		
1	medium	8	Soul Street Sisters	92,43,94,107,95,105,97	3	4	120	26	39	SSS	mandarina	negro	celeste	negro	0	2	1	1	36	34	35	34	36	31	28	25	36	45	36	32	25	36	36	48	30	25	30	53	775	Beat level 3 by outscoring the opposition by 2 or more goals.	win.3+goals.2		
1	large	11	Random League	4,6,8,30,100,109,111,41,113,53	5	3	150	3	44	RLG	blanco	blanco	blanco	blanco	0	3	1	1	40	40	40	40	40	40	40	25	40	40	40	40	25	40	40	40	40	25	40	55	880	Beat level 6 in this stadium.	win.6		
1	small	5	Trap and Drinks	34,46,39,44	11	7	90	6	41	TD	amarillo	rosa	naranja	blanco	0	1	2	6	33	40	52	55	40	40	33	25	43	48	56	42	30	40	42	70	35	30	40	35	805	Beat level 8 by outscoring the opposition by 2 or more goals.	win.8+goals.2		
1	medium	8	Private Investors FC	3,16,29,40,116,51,76	17	6	120	20	46	PI	naranja	mandarina	blanco	blanco	0	2	2	1	50	36	45	40	50	40	38	30	37	50	55	40	30	40	45	55	40	30	43	60	910	Beat level 5 by outscoring the opposition by 2 or more goals.	win.5+goals.2		
1	medium	8	The Devil's Rejects	4,9,7,10,24,13,29	23	6	120	5	48	TDR	celeste	rosa	amarillo	celeste	0	3	1	4	60	50	50	60	55	55	50	30	62	65	60	55	30	50	50	65	50	30	50	69	955	Beat level 7 by outscoring the opposition by 2 or more goals.	win.7+goals.2		
1	large	11	Never Friends	37,40,32,33,24,22,12,1,140,141	7	3	150	4	53	NF	verde	blanco	verde	blanco	0	1	2	5	50	50	50	50	50	50	50	30	50	50	53	50	30	50	50	50	50	30	50	64	1060	Beat level 11 in this stadium.	win.11		
1	medium	8	Totally Not Ugly FC	15,61,70,71,72,75,76	10	1	120	8	53	TNU	rosa	amarillo	blanco	blanco	0	2	3	3	10	80	60	80	80	32	30	35	30	60	58	55	35	30	60	65	30	35	25	62	1045	Beat level 11 by outscoring the opposition by 2 or more goals.	win.11+goals.2		
1	large	11	Bolu2 Team	7,12,13,14,20,22,23,28,31,33	2	2	150	2	58	BT	verde	verde	verde	verde	0	3	3	1	60	60	60	50	50	79	60	35	60	60	73	55	35	55	60	50	45	35	50	63	1150	Beat level 12 by outscoring the opposition by 2 or more goals.	win.12+goals.2		
1	large	11	Suit To Kill FC	139,141,68,72,142,73,35,64,119,120	12	5	150	3	60	STK	blanco	mandarina	negro	negro	0	1	2	3	60	60	60	65	75	78	60	35	60	75	71	72	35	55	67	80	75	35	55	66	1195	Beat level 14 by outscoring the opposition by 2 or more goals.	win.14+goals.2		
2	small	5	Bay Guards	145,146,147,149	21	6	90	2	45	BG	blanco	negro	blanco	negro	0	2	1	1	68	70	65	60	72	70	72	50	82	75	80	85	70	60	55	85	80	70	55	60	890	Beat all levels in the Wasteland United	complete.1		
2	small	5	Mergod and the Fish	148,150,148,150	24	4	90	0	49	MF	blanco	violeta	blanco	violeta	0	3	1	1	73	73	73	73	73	73	77	60	80	82	64	80	75	75	73	80	64	85	63	64	980	Beat level 1 in this stadium.	win.1		
2	small	5	Armed Civilians FC	6,25,65,98	9	4	90	5	54	AC	rojo	violeta	negro	rojo	0	1	1	1	76	76	76	76	76	50	95	70	74	76	88	76	76	70	70	85	76	70	90	72	1070	Beat level 2 in this stadium.	win.2		
2	medium	8	Amazonia All Grrrlz	4,6,95,50,54,43,19	5	6	120	35	64	AAG	naranja	rosa	rosa	naranja	0	2	2	1	79	79	75	75	75	61	83	55	86	86	70	75	79	76	75	75	79	75	79	79	1280	Beat level 3 in this stadium.	win.3		
2	medium	8	Rainbow Guerrilla	102,103,104,105,106,107,108	8	5	120	0	69	RG	celeste	negro	blanco	celeste	0	3	1	2	85	80	75	80	80	60	86	55	91	88	75	90	75	85	75	90	85	75	75	75	1370	Beat level 2 by outscoring the opposition by 2 or more goals.	win.2+goals.2		
2	large	11	All Blondes	10,12,16,22,24,25,31,54,81,102	20	7	150	2	79	AB	azul	violeta	amarillo	rojo	0	1	3	1	90	75	80	95	95	80	90	60	75	80	80	90	80	75	80	75	90	80	70	90	1580	Beat level 3 by outscoring the opposition by 2 or more goals.	win.3+goals.2		
2	large	11	Party Hard Destroyers	116,115,114,113,112,106,103,111,108,109	21	7	150	6	84	HP	violeta	amarillo	violeta	amarillo	0	2	3	1	82	85	77	84	82	62	90	65	92	89	75	80	77	86	82	80	90	77	76	77	1670	Beat level 5 in this stadium.	win.5		
2	small	5	Doomed Presidents	26,27,29,16	15	2	90	4	76	DP	mandarina	amarillo	mandarina	amarillo	0	3	1	2	85	85	80	90	85	75	80	65	95	95	60	97	80	98	90	90	75	60	85	85	1520	Beat level 6 in this stadium.	win.6		
2	small	5	Kinder Gangsters Revenge	1,2,17,5	19	6	90	3	81	KGR	negro	rojo	negro	rojo	0	1	3	3	75	86	88	76	74	76	78	60	100	100	100	100	100	100	100	75	75	50	76	71	1610	Beat level 7 by outscoring the opposition by 2 or more goals.	win.7+goals.2		
2	medium	8	Heads of Power	3,16,29,40,84,51,76	14	4	120	3	91	HP	rojo	negro	amarillo	negro	0	2	2	3	90	90	85	90	90	90	90	70	90	90	80	75	85	85	90	90	90	85	90	90	1820	Beat level 8 in this stadium.	win.8		
2	medium	8	Red Awareness FC	133,140,109,104,101,3,99	14	3	120	4	96	RA	rojo	rojo	rojo	rojo	0	3	2	2	96	96	90	96	88	95	95	70	97	98	92	88	82	97	96	90	90	75	95	75	1910	Beat level 10 in this stadium.	win.10		
2	medium	8	Knee-Biters Club	4,6,17,28,49,69,93	23	1	120	1	100	KB	amarillo	negro	amarillo	negro	0	1	1	2	91	91	86	91	96	91	91	86	93	94	75	88	60	80	79	100	100	100	100	100	2000	Beat level 11 by outscoring the opposition by 2 or more goals.	win.11+goals.2		
2	large	11	Guerrilla Squad	77,79,119,117,90,6,28,19,15,25	2	1	150	2	111	GS	azul	negro	amarillo	rojo	0	2	1	2	85	90	75	90	90	100	100	100	100	100	90	80	90	88	75	90	90	95	80	90	2210	Beat level 12 in this stadium.	win.12		
2	large	11	Imprisoned Freedom	74,75,8,3,35,30,25,80,144,136	7	6	150	3	115	IF	azul	blanco	celeste	azul	0	3	3	3	100	100	100	100	100	80	80	75	73	80	88	76	80	98	76	80	65	80	75	88	2300	Beat level 13 in this stadium.	win.13		
2	large	11	Momma Lovers FC	65,112,105,44,15,18,2,134,115,128	22	4	150	5	120	ML	celeste	rojo	celeste	rojo	0	1	6	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2390	Beat level 14 by outscoring the opposition by 2 or more goals.	win.14+goals.2		
7	small	5	Last Place Club	9,2,4,5	1	4	45	7	10	LPC	blanco	blanco	blanco	blanco	0	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100	Unlocked	Unlocked	1	1
7	small	5	Losing Lions	109,110,111,107	11	3	60	2	13	LL	azul	azul	azul	azul	0	3	1	6	2	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	120	Beat level 1 in this stadium.	win.1	1	2
7	small	5	Winless Wonders	81,82,84,76	1	2	90	1	23	WW	violeta	negro	violeta	negro	0	1	2	2	2	2	1	2	2	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	140	Beat level 2 in this stadium.	win.2	1	3
7	small	5	Galactic Conquerors	133,138,134,135	23	3	60	3	30	GC	blanco	violeta	blanco	violeta	0	2	3	3	3	2	1	3	2	2	2	1	2	1	2	1	1	1	2	1	1	1	1	1	160	Beat level 3 in this stadium.	win.3	1	4
7	small	5	Losers United	50,49,62,52	12	1	60	5	17	LU	blanco	amarillo	blanco	amarillo	0	3	1	6	1	2	1	3	2	2	3	1	2	1	3	2	1	2	2	2	3	1	2	2	200	Beat level 4 in this stadium.	win.4	1	5
8	small	5	Cellar Dwellers	118,93,87,83	8	4	60	4	15	CD	negro	negro	negro	negro	0	2	2	3	7	7	1	7	7	6	6	1	6	6	7	6	1	7	6	6	6	1	6	6	250	Unlocked	Unlocked	2	1
8	small	5	Bottom Feeders	85,86,87,100	19	2	60	2	25	BF	blanco	negro	blanco	negro	0	3	1	3	8	7	2	7	8	8	7	2	7	8	7	8	2	7	7	7	8	2	8	7	300	Beat level 1 in this stadium.	win.1	2	2
8	small	5	Monster Mash	142,125,127,128	17	4	60	4	35	MM	rojo	violeta	negro	rojo	0	1	2	1	9	8	3	8	9	9	8	3	9	8	8	9	3	8	9	8	8	3	8	9	350	Beat level 2 in this stadium.	win.2	2	3
8	small	5	Underachievers	140,144,137,136	15	1	90	6	45	US	celeste	negro	blanco	celeste	0	2	1	2	9	10	4	8	9	10	8	4	9	8	9	10	4	9	8	9	10	4	8	10	400	Beat level 3 in this stadium.	win.3	2	4
8	small	5	Wooden Spooners	6,10,12,11	18	6	60	0	11	WS	amarillo	amarillo	amarillo	amarillo	0	3	1	3	10	11	5	11	10	12	11	5	10	10	11	12	5	10	11	12	10	5	12	11	500	Beat level 4 in this stadium.	win.4	2	5
9	small	5	Galactic Goons	129,130,131,132	6	1	60	1	12	GG	verde	verde	verde	verde	0	2	1	5	18	21	10	20	19	19	21	10	20	19	20	18	10	20	20	19	20	10	19	20	600	Unlocked	Unlocked	3	1
9	small	5	Political Punchlines	35,8,40,80	14	6	60	0	21	PP	verde	azul	verde	azul	0	3	1	3	24	23	15	22	21	24	23	15	24	24	23	22	15	25	24	23	26	15	25	25	650	Beat level 1 in this stadium.	win.1	3	2
9	small	5	Relegation Raiders	97,98,99,112	9	2	90	3	14	RR	rojo	rojo	rojo	rojo	0	1	1	4	27	26	20	28	29	30	22	20	25	27	27	26	20	29	24	24	25	20	29	30	700	Beat level 2 in this stadium.	win.2	3	3
9	small	5	Futility FC	145,146,147,150	24	1	60	5	40	FFC	naranja	rosa	rosa	naranja	0	2	2	1	32	33	25	31	30	35	31	25	29	30	30	27	25	25	28	28	29	25	34	33	750	Beat level 3 in this stadium.	win.3	3	4
9	small	5	Alien Avengers	71,69,123,124	4	3	60	6	19	AA	amarillo	verde	amarillo	verde	0	3	1	2	35	35	30	33	35	35	35	30	35	32	32	35	30	35	35	33	35	30	35	35	1000	Beat level 4 in this stadium.	win.4	3	5
