Name	Rol	ID	Tags
Fengxian	GK	23	presidente
Leather Wurst	CH	114	rupaul
Green Gladys	CH	103	rupaul
Tom of Iceland	CH	113	rupaul
Seed Visual	CH	106	rupaul
Marilyn Mostra	CH	107	rupaul
Exotique Glitterson	CH	108	rupaul
Glenda Galaxy	CH	109	rupaul
Lux Electrica	CH	110	rupaul
Sam Ultra	CH	111	rupaul
María Gonzalez	CH	112	rupaul
Goldie	CH	105	rupaul
Ron Hellford	CH	115	rupaul
Whimply Red	CH	104	rupaul
Peter Power	CH	116	rupaul
Mamma Donna	CH	102	rupaul
Acid Queen	CH	10	rupaul
Betsy Beige	CH	19	rupaul
Kremme	CH	24	rupaul
Oriana Yuyos	CH	32	rupaul
Bombelle	CH	126	rupaul
Samuel LaMerde	CH	136	rupaul
Chester Wilde	GK	22	rupaul
Comandante Feltford	GK	1	rupaul
Xannah	GK	5	rupaul
Fengxian	GK	21	rupaul
Carlos Danger	CH	101	sinicos
El Trompo	CH	80	sinicos
Cletus Pinkneck	CH	25	sinicos
Uncle Neddy	CH	30	sinicos
Quanus, The Brute	CH	35	sinicos
Kurtz Kritz	CH	36	sinicos
Frank Wolfstreet	CH	142	sinicos
Smiley Saurus	CH	54	sinicos
Eloy Mars	CH	55	sinicos
Machote	CH	65	sinicos
Michael Five	CH	94	sinicos
José Cadaver	CH	132	sinicos
Miss California	CH	146	sinicos
Homeboy	GK	20	sinicos
Copbot	GK	4	sinicos
Homeboy	GK	20	space
Captain Starpain	CH	68	space
Kosmokim	CH	69	space
Commander Star	CH	70	space
Star Pilot Jammy	CH	71	space
UFO Guy	CH	72	space
Elmer Linkstar	CH	73	space
Gurghle, el Zhnorx	CH	123	space
Xardra, el Warrrwan	CH	124	space
Black Hole Sam	CH	143	space
Fireboy	CH	133	space
Nave	CH	155	space
Punga Punga	CH	1	tercermundo
Orfelia	CH	14	tercermundo
Kristina Firtzner	CH	27	tercermundo
La Chambona	CH	34	tercermundo
L-Ganster	CH	46	tercermundo
El Más Guillermo	CH	37	tercermundo
Cardenal Salchipapa	CH	64	tercermundo
Perita Verón	CH	81	tercermundo
Green Gladys	CH	103	tercermundo
El Carlo	CH	163	tercermundo
Juando Mingo	GK	15	tercermundo
Kim Yin	CH	3	violento
Tincho M Diocre	CH	13	violento
Ronald W Thrumb	CH	16	violento
Cletus Pinkneck	CH	25	violento
Fabricio Fabri	CH	26	violento
Bobby Etchegoyen	CH	28	violento
El Drupi	CH	38	violento
Vladimir Putronik	CH	42	violento
Cancelado	CH	45	violento
Eloy Mars	CH	55	violento
Pedro Persuasivo	CH	96	violento
Mr. Nice Guy	CH	97	violento
Dan, el Diplomático	CH	98	violento
El Embajador	CH	99	violento
Carlos Danger	CH	101	violento
Husam Sandstorm	CH	119	violento
Parolio, el Payaso	CH	135	violento
Esperpent	CH	160	violento
Pato Vicca	GK	12	violento
Javo Autopercibido	GK	7	lla
Adroni	CH	157	lla
Javo	CH	158	lla
karina	CH	159	lla
espert	CH	160	lla
Fiscal Nissmar	CH	7	lla
Lizzie Queen	CH	8	lla
Tincho M Diocre	CH	13	lla
El Pesto	CH	20	lla
Alfredo 'Tota' Messina	CH	23	lla
Cancelado	CH	45	lla
Eloy Mars	CH	55	lla
El Kevin OK	CH	170	lla
Nadie	CH	61	lla
Somebody	CH	74	lla
Pato	CH	164	lla
El Copito	CH	166	lla
Motorhome	GK	6	riders
Pedro Persuasivo	CH	96	riders
Pedro Persuasivo	CH	96	riders
Mr. Nice Guy	CH	97	riders
Mr. Nice Guy	CH	97	riders
Dan, el Diplomático	CH	98	riders
Dan, el Diplomático	CH	98	riders
El Embajador	CH	99	riders
El Embajador	CH	99	riders
Tom of Iceland	CH	113	riders
Ford Hellman	CH	115	riders
Tank	GK	18	zombies
El Undead	CH	85	zombies
El Undead	CH	85	zombies
El Dead	CH	86	zombies
El Dead	CH	86	zombies
Toxic Kate	CH	87	zombies
Toxic Kate	CH	87	zombies
Mortadella	CH	88	zombies
Mortadella	CH	88	zombies
XD-Vision	CH	131	zombies
XD-Vision	CH	131	zombies
Javo Autopercibido	GK	7	libertarios
Javo	CH	158	libertarios
karina	CH	159	libertarios
El Copito	CH	166	libertarios
Pato	CH	164	libertarios
Pichichi	CH	172	libertarios
espert	CH	160	libertarios
Adroni	CH	157	libertarios
Cancelado	CH	45	libertarios
Eloy Mars	CH	55	libertarios
Nadie	CH	61	libertarios
Somebody	CH	74	libertarios
Fiscal Nissmar	CH	7	libertarios
Peron	GK	15	zurdos
Kristina Firtzner	CH	27	zurdos
El Más Guillermo	CH	37	zurdos
El Fulbonauta	CH	165	zurdos
La Beto	CH	174	zurdos
Kestor Nietzche	CH	173	zurdos
Orfelia	CH	14	zurdos
Perita Verón	CH	81	zurdos
Ñubi	CH	39	zurdos
Cobra	CH	21	zurdos
KZU	CH	44	zurdos
Linda	CH	48	zurdos
Stalini	CH	40	zurdos
Mamma Donna	CH	102	zurdos
Davidson	CH	92	zurdos
La Chambona	CH	34	zurdos
Richard	GK	2	empanadas
Carne Picante	CH	168	empanadas
Carne Picante	CH	168	empanadas
Carne Picante	CH	168	empanadas
Carne Picante	CH	168	empanadas
Humita	CH	169	empanadas
Humita	CH	169	empanadas
Humita	CH	169	empanadas
Humita	CH	169	empanadas
Krypto Kid	GK	16	rappis
Josue	CH	161	rappis
Josue	CH	161	rappis
Josue	CH	161	rappis
Elizabeth	CH	162	rappis
Elizabeth	CH	162	rappis
Elizabeth	CH	162	rappis
Kevin	CH	170	rappis
Kevin	CH	170	rappis
Kevin	CH	170	rappis
El Tordo	GK	26	fulbopalooza
Lali Sputnik	CH	177	fulbopalooza
Good Rabbit	CH	178	fulbopalooza
Paco Amorfo	CH	175	fulbopalooza
Kato Moroso	CH	176	fulbopalooza
La Lía	CH	179	fulbopalooza
L Gancia	CH	46	fulbopalooza
K-Zu	CH	44	fulbopalooza
El Drupi	CH	38	fulbopalooza
Smiley Saurus	CH	54	fulbopalooza
Oliver Plant	CH	59	fulbopalooza
Lali Sputnik	CH	177	fulbopalooza
Porchi	GK	25	TVfreaks
Caniggia Ice	CH	22	TVfreaks
Federico Kremme	CH	24	TVfreaks
Baby	CH	28	TVfreaks
Oriana Yuyos	CH	32	TVfreaks
Claudio María Jipoide	CH	33	TVfreaks
Leevone Hemingway	CH	50	TVfreaks
Fiscal Nissmar	CH	7	TVfreaks
Cadorni	CH	157	TVfreaks
El Javo	CH	158	TVfreaks
El Druppy	CH	38	TVfreaks
La Chambona	CH	34	TVfreaks
Feiman	RF	1	
Joe Zen	RF	2	
Fulbo Friendly	RF	3	
Squidy	RF	4	
NewPaul	RF	5	
The Big G (Ganesha)	RF	6	
Flash Ramsay	RF	7	
