Cancha ID  0= Fulbo Stadium.  1= Cementerio.  2= Playa.	Size	My Team Qty	Equipo	ID Players	ID GK	referi_id	Tiempo de juego	Positions	coin price	abreviacion (name)	color remera 1	color remera 2	color shorts	color shoes	pinball	designID (pattern)	diseño escudo (shape)	logo (icon)	GK - ACCURACY	GK - STAMINA	GK - SPEED	GK - DEXTERITY	GK - TRICKERY	DEF - ACCURACY	DEF - STAMINA	DEF - SPEED	DEF - DEXTERITY	DEF - TRICKERY	MID - ACCURACY	MID - STAMINA	MID - SPEED	MID - DEXTERITY	MID - TRICKERY	FOR - ACCURACY	FOR - STAMINA	FOR - SPEED	FOR - DEXTERITY	FOR - TRICKERY	Fulbo Win Prize	unlock Condition Text	unlock Condition Code
1	small	5	Senegal	85,86,87,88	18	4	90	1	23	SEN	verde	amarillo	rojo	rojo	0	2	5	0	20	20	20	20	20	15	15	17	20	20	20	20	15	20	25	25	15	20	20	25	445	Beat all levels in the Fulbo $tadium	complete.0
1	small	5	Netherlands	128, 65, 15, 2	10	2	90	4	25	NLD	bordo	blanco	azul	blanco	0	1	1	0	24	24	10	20	27	30	30	18	24	24	24	24	16	23	24	24	24	20	10	20	490	Beat level 1 in this stadium.	win.1
1	large	11	Wales	72,68,72,72,70,72,69,72,72,71	20	7	90	1	35	WAL	verde	blanco	verde	blanco	0	1	3	0	25	30	30	13	15	21	21	20	20	35	30	21	20	20	35	40	30	20	25	59	700	Beat level 3 in this stadium.	win.3
0	large	11	Canada	136,137,138,143,128,100,82,63,39,21	4	7	90	1	27	CAN	rojo	blanco	rojo	rojo	0	2	3	0	17	20	15	15	17	13	18	11	20	17	17	20	15	15	15	23	20	15	19	19	553	Beat level 12 in this stadium.	win.12
1	small	5	Arabia	143,123,125,124	6	6	90	5	32	SAU	verde	blanco	blanco	blanco	0	3	4	0	30	20	35	30	20	20	30	20	15	35	30	32	20	20	35	45	20	25	30	56	625	Beat level 4 by outscoring the opposition by 2 or more goals.	win.4+goals.2
1	small	5	Poland	79,80,70,78	1	2	90	3	34	POL	blanco	rojo	bordo	blanco	0	1	5	0	30	38	40	40	32	25	32	20	35	48	28	34	20	30	48	48	32	25	28	51	670	Beat level 5 in this stadium.	win.5
1	medium	8	Tunisia	92,43,94,107,95,105,97	3	4	90	26	39	TUN	rojo	rojo	rojo	rojo	0	2	5	19	36	34	35	34	36	31	28	25	36	45	36	32	25	36	36	48	30	25	30	53	775	Beat level 3 by outscoring the opposition by 2 or more goals.	win.3+goals.2
1	large	11	Denmark	4,6,8,30,100,109,111,41,113,53	5	3	90	3	44	DEN	rojo	blanco	blanco	rojo	0	3	2	0	40	40	40	40	40	40	40	25	40	40	40	40	25	40	40	40	40	25	40	55	880	Beat level 6 in this stadium.	win.6
1	small	5	Japan	34,46,39,44	11	7	90	6	41	JPN	blanco	rojo	blanco	rojo	0	1	3	0	33	40	52	55	40	40	33	25	43	48	56	42	30	40	42	70	35	30	40	35	805	Beat level 8 by outscoring the opposition by 2 or more goals.	win.8+goals.2
1	medium	8	Costa Rica	3,16,29,40,116,51,76	17	6	90	20	46	CRI	azul	blanco	rojo	azul	0	1	3	0	50	36	45	40	50	40	38	30	37	50	55	40	30	40	45	55	40	30	43	60	910	Beat level 5 by outscoring the opposition by 2 or more goals.	win.5+goals.2
1	medium	8	Morocco	4,9,7,10,24,13,29	23	6	90	5	48	MAR	bordo	bordo	bordo	bordo	0	2	4	5	60	50	50	60	55	55	50	30	62	65	60	55	30	50	50	65	50	30	50	69	955	Beat level 7 by outscoring the opposition by 2 or more goals.	win.7+goals.2
1	large	11	Belgium	37,40,32,33,24,22,12,1,140,141	7	3	90	4	53	BEL	negro	naranja	negro	mandarina	0	1	5	0	50	50	50	50	50	50	50	30	50	50	53	50	30	50	50	50	50	30	50	64	1060	Beat level 11 in this stadium.	win.11
1	medium	8	Serbia	15,61,70,71,72,75,76	10	1	90	8	53	SER	blanco	celeste	blanco	blanco	0	1	5	0	10	80	60	80	80	32	30	35	30	60	58	55	35	30	60	65	30	35	25	62	1045	Beat level 11 by outscoring the opposition by 2 or more goals.	win.11+goals.2
1	large	11	Cameroon	7,12,13,14,20,22,23,28,31,33	2	2	90	2	58	CMR	verde	rojo	naranja	verde	0	3	1	5	60	60	60	50	50	79	60	35	60	60	73	55	35	55	60	50	45	35	50	63	1150	Beat level 12 by outscoring the opposition by 2 or more goals.	win.12+goals.2
1	large	11	Portugal	139,141,68,72,142,73,35,64,119,120	12	5	90	3	60	PRT	verde	rojo	rojo	rojo	0	2	2	0	60	60	60	65	75	78	60	35	60	75	71	72	35	55	67	80	75	35	55	66	1195	Beat level 14 by outscoring the opposition by 2 or more goals.	win.14+goals.2
2	small	5	Ghana	145,146,147,149	21	6	90	2	45	GHA	rojo	amarillo	verde	amarillo	0	1	3	0	68	70	65	60	72	70	72	50	82	75	80	85	70	60	55	85	80	70	55	60	890	Beat all levels in the Wasteland United	complete.1
