cup	level	tier	Fulbo Win Prize	Cancha ID  0= Fulbo Stadium.  1= Cementerio.  2= Playa.	Size	My Team Qty	Equipo	ID Players	ID GK	referi_id	Tiempo de juego	Positions	coin price	abreviacion (name)	color remera 1	color remera 2	color shorts	color shoes	pinball	designID (pattern)	diseño escudo (shape)	logo (icon)	GK - ACCURACY	GK - STAMINA	GK - SPEED	GK - DEXTERITY	GK - TRICKERY	DEF - ACCURACY	DEF - STAMINA	DEF - SPEED	DEF - DEXTERITY	DEF - TRICKERY	MID - ACCURACY	MID - STAMINA	MID - SPEED	MID - DEXTERITY	MID - TRICKERY	FOR - ACCURACY	FOR - STAMINA	FOR - SPEED	FOR - DEXTERITY	FOR - TRICKERY	Duels_players	Duels_GK	idle Delay	TOTAL STATS (Cargar Stats Totales Acá)	True Power	GK TOTAL	DEF TOTAL	MID TOTAL	FOR TOTAL	GK%	DEF%	MID%	FOR%	GK - ACCURACY	GK - STAMINA	GK - SPEED	GK - DEXTERITY	GK - TRICKERY	DEF - ACCURACY	DEF - STAMINA	DEF - SPEED	DEF - DEXTERITY	DEF - TRICKERY	MID - ACCURACY	MID - STAMINA	MID - SPEED	MID - DEXTERITY	MID - TRICKERY	FOR - ACCURACY	FOR - STAMINA	FOR - SPEED	FOR - DEXTERITY	FOR - TRICKERY
10	11	3	0	5	large	11	Stylish Ones	53,43,92,94,109,110,107,108,135,62	1	2	150	1	4	SF	violeta	blanco	blanco	negro	0	3	1	6	4	4	4	4	4	2	3	7	3	7	3	8	4	4	8	4	3	4	8	8	0	0	25	306	95	22	23	25	25	20%	40%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
10	12	3	0	2	large	11	Blockchain Earth Team	54,55,56,60,13,20,26,39,45,53	17	7	150	5	4	BET	amarillo	azul	negro	negro	0	1	2	2	5	5	5	5	5	3	8	4	8	4	5	5	5	5	5	6	6	6	6	6	0	0	20	329	106	25	28	25	28	20%	30%	20%	30%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
10	13	3	0	0	large	11	Fulbo Legends	1,5,6,9,17,18,21,15,11,8	12	5	150	1	5	FS	azul	rojo	azul	rojo	0	2	3	8	4	8	4	3	8	3	8	4	8	4	5	5	5	5	5	9	3	9	5	5	0	0	20	357	110	28	25	27	30	25%	25%	25%	25%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
10	14	3	0	1	large	11	Two Tires Squad	115,116,98,99,79,90,96,97,106,107	8	6	150	6	5	TTS	rojo	negro	rojo	rojo	0	3	1	9	4	8	4	3	8	6	6	6	6	6	3	5	9	9	5	9	3	9	5	5	0	0	20	389	115	25	30	30	30	30%	25%	20%	25%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
10	15	3	0	4	large	11	Leg Breakers	137,79,19,25,35,44,46,52,77,81	5	2	150	4	5	LB	violeta	negro	violeta	negro	0	1	2	11	5	9	5	3	9	3	5	9	5	9	3	5	9	9	5	9	3	9	5	5	0	0	15	428	120	30	30	30	30	25%	20%	25%	30%	15%	30%	15%	10%	30%	10%	15%	30%	15%	30%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
20	20	1	0	0	small	5	Super Galaxy	52,100,109,110	11	6	90	2	6	SG	negro	verde	verde	negro	0	2	2	12	5	2	2	5	2	3	10	5	10	5	2	5	2	2	5	2	2	2	5	5	0	-4	25	83	83	17	33	17	17	20%	40%	20%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
20	21	1	0	0	small	5	Freaks Unleashed	123,131,125,124	23	5	90	4	6	FU	naranja	blanco	blanco	naranja	0	3	5	5	6	6	6	6	6	2	3	7	3	7	2	7	3	3	7	3	2	3	7	7	0	-3	25	94	94	28	22	22	23	30%	23%	23%	24%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
20	22	1	0	0	small	5	The Other Guys	133,138,142,132	10	7	90	6	6	TOG	blanco	verde	negro	verde	0	1	4	6	6	6	6	6	6	3	8	4	8	4	6	6	6	6	6	6	6	6	6	6	0	-2	20	110	110	28	28	28	28	25%	25%	25%	25%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
20	23	1	0	0	small	5	Dog Run	140,135,119,120	17	6	90	3	7	DG	verde	violeta	verde	violeta	0	2	3	1	3	4	8	4	8	5	14	7	14	7	5	5	5	5	5	8	3	8	4	4	0	-1	20	132	124	26	45	26	26	20%	40%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
20	20	2	0	0	medium	8	Super Galaxy	52,100,109,110,123,124,126	11	6	120	2	6	SG	negro	verde	verde	negro	0	2	2	12	8	4	3	8	4	3	9	5	9	5	3	9	5	5	9	4	3	4	8	8	0	0	25	209	110	25	30	30	25	20%	20%	40%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
20	21	2	0	0	medium	8	Freaks Unleashed	123,131,125,124,117,118,100	23	5	120	4	6	FU	naranja	blanco	blanco	naranja	0	3	5	5	7	7	7	7	7	3	5	9	5	9	4	11	5	5	11	6	4	6	11	11	0	0	25	237	138	35	30	35	38	20%	40%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
20	22	2	0	0	medium	8	The Other Guys	133,138,125,132,140,142,143	10	7	120	6	6	TOG	blanco	verde	negro	verde	0	1	4	6	8	8	8	8	8	4	11	6	11	6	8	8	8	8	8	8	8	8	8	8	0	0	20	274	155	39	38	39	39	25%	25%	25%	25%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
20	23	2	0	0	medium	8	Dog Run	140,135,119,120,89,84,35	17	6	120	3	7	DG	verde	violeta	verde	violeta	0	2	3	1	6	13	6	4	13	4	12	6	12	6	8	8	8	8	8	12	4	12	6	6	0	0	20	324	161	42	40	38	41	40%	20%	20%	20%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
20	24	2	0	0	medium	8	Anti-Nerds	128,98,65,51,58,29,129	12	5	120	1	8	AN	blanco	blanco	blanco	negro	0	3	1	16	7	14	7	5	14	8	8	8	8	8	5	7	14	14	7	14	5	14	7	7	0	0	20	356	173	45	38	45	45	20%	20%	20%	40%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
20	20	3	0	0	large	11	Super Galaxy	120,84,77,52,100,109,110,123,124,126	11	6	150	2	6	SG	negro	verde	verde	negro	0	2	2	12	11	5	4	11	5	4	11	5	11	5	3	9	5	5	9	5	4	5	11	11	0	0	25	301	135	35	35	30	35	20%	20%	40%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
20	21	3	0	0	large	11	Freaks Unleashed	123,131,125,124,117,118,100,106,87,93	23	5	150	4	6	FU	naranja	blanco	blanco	naranja	0	3	5	5	8	8	8	8	8	4	6	12	6	12	4	11	5	5	11	6	4	6	12	12	0	0	25	323	152	38	39	35	40	20%	40%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
20	22	3	0	0	large	11	The Other Guys	133,138,125,132,140,142,143,136,137,127	10	7	150	6	6	TOG	blanco	verde	negro	verde	0	1	4	6	7	7	7	7	7	4	13	6	13	6	8	8	8	8	8	9	9	9	9	9	0	0	20	348	160	35	42	38	45	20%	20%	20%	40%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
20	23	3	0	0	large	11	Dog Run	140,135,119,120,89,84,35,20,34,39	17	6	150	3	7	DG	verde	violeta	verde	violeta	0	2	3	1	8	15	8	5	15	5	14	7	14	7	9	9	9	9	9	14	5	14	7	7	0	0	20	377	187	50	45	44	48	25%	25%	25%	25%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
20	24	3	0	0	large	11	Anti-Nerds	128,98,65,51,58,29,129,25,30,15	12	5	150	1	8	AN	blanco	blanco	blanco	negro	0	3	1	16	8	16	8	5	16	10	10	10	10	10	4	6	13	13	6	17	6	17	8	8	0	0	20	411	199	52	50	42	55	40%	20%	20%	20%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
20	25	3	0	0	large	11	Killer Queens	14,27,50,44,18,21,19,10,12,8	5	2	150	2	8	KQ	violeta	rosa	blanco	violeta	0	2	4	20	8	17	8	6	17	6	8	17	8	17	5	8	15	15	8	17	6	17	9	9	0	0	15	452	218	55	55	50	58	20%	20%	20%	40%	15%	30%	15%	10%	30%	10%	15%	30%	15%	30%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
30	30	1	0	1	small	5	Toxic Vomit FC	85,86,87,88	18	5	90	1	12	TV	negro	verde	verde	negro	0	2	2	15	7	4	2	7	4	5	14	7	14	7	2	7	4	4	7	4	2	4	7	7	0	-4	25	123	119	25	45	25	25	20%	40%	20%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
30	31	1	0	1	small	5	Wasteland Slashers	128, 65, 15, 2	10	2	90	4	13	PAS	naranja	naranja	blanco	mandarina	0	3	1	13	7	7	7	7	7	4	5	11	5	11	4	11	5	5	11	5	4	5	11	11	0	-3	25	140	140	35	35	35	35	25%	25%	25%	25%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
30	32	1	0	1	small	5	Horror Party	134,135,132,128	10	6	90	3	17	HP	naranja	rosa	celeste	mandarina	0	1	2	18	13	13	13	13	13	3	10	5	10	5	7	7	7	7	7	7	7	7	7	7	0	0	20	163	163	65	33	33	33	40%	20%	20%	20%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
30	33	1	0	1	small	5	Mooners	68,70,72,69	20	1	90	2	21	MN	blanco	blanco	celeste	blanco	0	2	1	19	6	12	6	4	12	4	12	6	12	6	8	8	8	8	8	20	7	20	10	10	0	0	20	196	183	40	39	39	65	20%	20%	20%	40%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
30	30	2	0	1	medium	8	Toxic Vomit FC	85,86,87,88,100,82,61	18	5	120	1	12	TV	negro	verde	verde	negro	0	2	2	15	9	5	3	9	5	4	13	7	13	7	6	18	9	9	18	5	3	5	9	9	0	0	35	224	165	30	45	60	30	20%	20%	40%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
30	31	2	0	1	medium	8	Wasteland Slashers	128,65,15,2,98,79,52	10	2	120	4	13	PAS	naranja	naranja	blanco	mandarina	0	3	1	13	9	9	9	9	9	6	9	18	9	18	5	14	7	7	14	7	5	7	14	14	0	0	25	253	195	45	60	45	45	20%	40%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
30	32	2	0	1	medium	8	Horror Party	134,135,132,128,129,130,127	10	6	120	4	17	HP	naranja	rosa	celeste	mandarina	0	1	2	18	12	12	12	12	12	6	18	9	18	9	12	12	12	12	12	12	12	12	12	12	0	0	20	292	240	60	60	60	60	25%	25%	25%	25%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
30	33	2	0	1	medium	8	Mooners	68,70,72,69,71,73,90	20	7	120	1	21	MN	blanco	blanco	celeste	blanco	0	2	1	19	11	23	11	8	23	6	18	9	18	9	13	13	13	13	13	20	7	20	10	10	0	0	20	345	265	75	60	65	65	40%	20%	20%	20%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
30	34	2	0	1	medium	8	Doom & Gloom	81,54,61,60,56,58,59	6	6	120	5	15	OE	violeta	negro	violeta	negro	0	3	1	4	11	21	11	7	21	13	13	13	13	13	7	11	21	21	11	24	8	24	12	12	0	0	20	380	285	70	65	70	80	20%	20%	20%	40%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
30	30	3	0	1	large	11	Toxic Vomit FC	85,86,87,88,100,82,61,39,143,127	18	5	150	1	12	TV	negro	verde	verde	negro	0	2	2	15	12	6	4	12	6	5	15	8	15	8	4	12	6	6	12	6	4	6	12	12	0	0	35	317	170	40	50	40	40	20%	20%	40%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
30	31	3	0	1	large	11	Wasteland Slashers	128,65,15,2,98,79,52,51,19,3	10	2	150	4	13	PAS	naranja	naranja	blanco	mandarina	0	3	1	13	9	9	9	9	9	5	8	15	8	15	5	15	8	8	15	7	5	7	14	14	0	0	25	340	190	45	50	50	45	20%	40%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
30	32	3	0	1	large	11	Horror Party	134,135,132,128,129,130,127,123,124,125	10	6	150	1	17	HP	naranja	rosa	celeste	mandarina	0	1	2	18	9	9	9	9	9	4	12	6	12	6	8	8	8	8	8	15	15	15	15	15	0	0	20	366	200	45	40	40	75	20%	20%	20%	40%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
30	33	3	0	1	large	11	Mooners	68,70,72,69,71,73,90,91,117,118	20	7	150	1	21	MN	blanco	blanco	celeste	blanco	0	2	1	19	11	23	11	8	23	5	14	7	14	7	9	9	9	9	9	23	8	23	11	11	0	0	20	397	240	75	45	45	75	25%	25%	25%	25%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
30	34	3	0	1	large	11	Doom & Gloom	89,95,93,81,54,61,60,56,58,59	6	6	150	5	15	OE	violeta	negro	violeta	negro	0	3	1	4	12	24	12	8	24	9	9	9	9	9	5	8	15	15	8	18	6	18	9	9	0	0	20	433	235	80	45	50	60	40%	20%	20%	20%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
30	35	3	0	1	large	11	Inconspicuous Fulbomasters	79,80,70,78,82,77,75,74,78,63	1	2	150	3	16	IF	celeste	negro	blanco	negro	0	1	1	6	11	21	11	7	21	6	9	18	9	18	6	9	18	18	9	24	8	24	12	12	0	0	15	476	270	70	60	60	80	20%	20%	20%	40%	15%	30%	15%	10%	30%	10%	15%	30%	15%	30%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
40	40	1	0	2	small	5	Bay Guards	145,146,147,149	21	6	90	2	24	BG	blanco	negro	blanco	negro	0	2	1	1	28	14	9	28	14	15	45	23	45	23	9	28	14	14	28	14	9	14	28	28	0	0	25	458	425	92	150	92	92	20%	40%	20%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
40	41	1	0	2	small	5	Medano Stalkers	138,120,79,52	24	5	90	0	26	MF	blanco	violeta	blanco	violeta	0	3	1	3	30	30	30	30	30	10	15	30	15	30	10	30	15	15	30	15	10	15	30	30	0	0	25	497	448	150	99	99	99	40%	20%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
40	42	1	0	2	small	5	Armed Civilians FC	6,25,65,98	9	7	90	5	27	AC	rojo	violeta	negro	rojo	0	1	1	5	27	27	27	27	27	12	36	18	36	18	27	27	27	27	27	24	24	24	24	24	0	0	20	542	511	135	120	135	120	25%	25%	25%	25%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
40	43	1	0	2	small	5	Amazonia All Grrrlz	4,6,95,50	5	6	90	3	35	AAG	naranja	rosa	rosa	naranja	0	2	2	6	20	41	20	14	41	12	36	18	36	18	24	24	24	24	24	48	16	48	24	24	0	0	20	596	533	135	119	119	160	20%	20%	20%	40%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
40	40	2	0	2	medium	8	Bay Guards	145,146,147,149, 39, 107, 101	21	6	120	2	24	BG	blanco	negro	blanco	negro	0	2	1	1	30	15	10	30	15	10	30	15	30	15	15	45	23	23	45	15	10	15	30	30	0	0	25	502	451	100	100	150	100	20%	20%	40%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
40	41	2	0	2	medium	8	Medano Stalkers	138,120,79,52,39,4,35	24	5	120	0	26	MF	blanco	violeta	blanco	violeta	0	3	1	3	21	21	21	21	21	15	23	45	23	45	10	31	16	16	31	16	10	16	31	31	0	0	25	523	464	105	150	105	105	20%	40%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
40	42	2	0	2	medium	8	Armed Civilians FC	6,25,65,98,128,129,63	9	2	120	5	27	AC	rojo	violeta	negro	rojo	0	1	1	5	24	24	24	24	24	11	32	16	32	16	27	27	27	27	27	27	27	27	27	27	0	0	20	546	498	120	105	137	137	25%	25%	25%	25%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
40	43	2	0	2	medium	8	Amazonia All Grrrlz	4,6,95,50,54,43,19	5	6	120	35	35	AAG	naranja	rosa	rosa	naranja	0	2	2	6	23	45	23	15	45	11	34	17	34	17	23	23	23	23	23	34	11	34	17	17	0	0	20	571	493	150	114	114	114	40%	20%	20%	20%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
40	44	2	0	2	medium	8	Rainbow Guerrilla	102,103,104,105,106,107,108	8	5	120	0	37	RG	celeste	negro	blanco	celeste	0	3	1	8	24	47	24	16	47	25	25	25	25	25	13	19	38	38	19	45	15	45	23	23	0	0	20	628	558	157	126	126	150	25%	20%	20%	35%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
40	40	3	0	2	large	11	Bay Guards	145,146,147,149, 39, 107, 101, 112,148, 150	21	6	150	2	24	BG	blanco	negro	blanco	negro	0	2	1	1	30	15	10	30	15	10	30	15	30	15	15	45	23	23	45	15	10	15	30	30	0	0	25	508	455	102	102	150	102	20%	20%	40%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
40	41	3	0	2	large	11	Medano Stalkers	138,120,79,52,39,4,35,78,88,132	24	5	150	0	26	MF	blanco	violeta	blanco	violeta	0	3	1	3	21	21	21	21	21	15	23	45	23	45	11	32	16	16	32	16	11	16	32	32	0	0	25	528	467	106	150	106	106	20%	40%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
40	42	3	0	2	large	11	Armed Civilians FC	6,25,65,98,128,129,63,35,15,19	9	2	150	5	27	AC	rojo	violeta	negro	rojo	0	1	1	5	22	22	22	22	22	11	33	17	33	17	22	22	22	22	22	30	30	30	30	30	0	0	20	550	480	110	110	110	150	20%	20%	20%	40%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
40	43	3	0	2	large	11	Amazonia All Grrrlz	4,6,95,50,54,43,19,21,34,44	5	6	150	9	35	AAG	naranja	rosa	rosa	naranja	0	2	2	6	18	36	18	12	36	14	43	22	43	22	29	29	29	29	29	36	12	36	18	18	0	0	20	574	527	120	143	143	120	25%	25%	25%	25%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
40	44	3	0	2	large	11	Rainbow Guerrilla	102,103,104,105,106,107,108,109,110,111	8	5	150	0	37	RG	celeste	negro	blanco	celeste	0	3	1	8	20	41	20	14	41	24	24	24	24	24	12	18	36	36	18	45	15	45	23	23	0	0	20	600	525	135	120	120	150	35%	20%	20%	25%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
40	45	3	0	2	large	11	All Blondes	10,12,16,22,24,25,31,54,81,102	20	7	150	2	45	AB	azul	violeta	amarillo	rojo	0	1	3	10	23	45	23	15	45	13	20	40	20	40	13	20	40	40	20	45	15	45	23	23	0	0	15	660	564	150	132	132	150	25%	20%	20%	35%	15%	30%	15%	10%	30%	10%	15%	30%	15%	30%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
50	50	1	0	5	small	5	Hairdressers' Sons	10,49,50,59	7	5	90	2	10	HS	rosa	azul	negro	negro	0	1	4	8	30	15	10	30	15	15	45	23	45	23	12	36	18	18	36	23	15	23	45	45	0	0	20	606	521	100	150	121	150	20%	40%	20%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
50	51	1	0	5	small	5	Tufo & Barullo FC	130, 134, 136, 135	15	5	90	3	17	TB	verde	azul	negro	verde	0	2	1	1	30	30	30	30	30	13	20	39	20	39	13	39	20	20	39	18	12	18	36	36	0	0	20	657	533	150	131	131	120	40%	20%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
