Name	Rol	ID	Rarity	status	texts	Position
El Druppy	CH	38	1		He dares to play the type of Fulbo that everyone would love to play if only they had the guts. If you don’t like him then you’re simply in denial. He has jealousy-inducing skills that you must accept. Get over it!	MID
Ñuby	CH	39	2		A fan turned Fulbo Galaxy Player. He really loves to play but he wants to watch the game too. Spends most of his time running between the pitch and the television as he attempts - and mostly fails - to do both.	DEF
Giuseppe Stalini	CH	40	3		Born to be a Fulbo Star and raised to be a leader. His style of play is a little unorthodox but he's capable of scoring some wonderful goals (although not always for his own team). He makes every game a mini revolution!	FOR
George W. Ramone	CH	41	2	blocked	A Fulbo Galaxy genius with a unique style. One minute he’s on the attack and the next he’s a defensive dynamo. Add a little bit of ‘conservative punk’ to your team but remember, if you don't like the way he plays there's not a thing you can do about it.	MID
Putronik	CH	42	4	blocked	He's a small time Fulbo Galaxy star desperate to be a contender on the world stage. He's bright, he's studious and he has a lot of potential. Occasionally he's prone to making horrendous mistakes that lead his team to embarrassing losses.	
RuPole	CH	43	3	blocked	The most exciting Player to watch on the field of Fulbo Galaxy! If you're looking for a nail-biting display of Fulbo fun then look no further. When she's on the ball, no game is in danger of becoming a drag.	DEF
K Zoo	CH	44	3		A beacon to all women, but mainly young girls, or women that have already achieved success. A beacon to all women before or after their journey of growth. She almost certainly won’t be helpful along the way.	MID
Cancelado	CH	45	1	blocked	Why are you reading my bio? What are you looking for? Go away and read another Player’s bio. There’s nothing to see here. There’s no screengrab to take or cause to join. Take your hashtags elsewhere and go **** yourself!	DEF
L-Gangster	CH	46	2		Team Player and all-around hero. Get him in your team and it’s just a matter of time until you achieve success. You may also struggle to get to the stadium on time. His fans have been known to cause major traffic problems!	MID
Burt Simmons	CH	47	2	blocked	He has the youthful looks of a rookie but he’s by far the oldest Fulbo Player to ever grace the pitch. This forever young star has a mischievous style of play that has cemented his reputation as a firm favorite amongst the fans.	
Lissa Simmons	CH	48	2	blocked	Studious, serious and never in the mood for anything less than total commitment to the game. Although technically superior, she has spent her entire career playing in the shadow of her big brother, Burt Simmons. Has that made her bitter? It sure has.	
Angel Robledo	CH	49	1		The ultimate Fulbo Galaxy Player. Known for his killer tackles and dead ball skills. He's stylish and suave when he has the ball but completely insane when he loses it. Better to have him on your team than to play against him.	FOR
Leevon Hemingway	CH	50	1		The most famous Fulbo Galaxy Player in the world. We have no idea how this happened but she has twelve celebrity parents! When she plays Fulbo she means business and by business we mean show business darling.	FOR
Chester Guevara	CH	51	4	blocked	Only plays to draw attention to the poorer Players in the lower leagues of the Fulbo Galaxy universe. No team can deal with his square passes or his lethal shot taking. Opposing teams often refer to these moves as 'The Cube' and 'The Missile' crisis.	FOR
Pati Caro	CH	52	2		A young and talented Player rising fast in the Fulbo Galaxy world.  He has all the ingredients to make a great Player but needs to figure out his style. Like fresh meat, nobody knows if he will become a hamburger or a prime steak!	DEF
Bankboy Sam	CH	53	1		This man lives and breathes Fulbo and has more skills than most Players on the pitch. Unfortunately, he is hugely unpopular with his teammates because when he wins the ball he loves to give it away.	MID
Smiley Saurus	CH	54	4	blocked	What a woman! What a Player! She does not understand the concept of defensive play and believes only in the art of attack, more attack and even more attack. If you want to win, then build your team around this wrecking ball.	MID
Eloy Mars	CH	55	4	blocked	He has the most powerful left foot in the Fulbo Galaxy. His style of play is electric and he always shoots for the stars. Last season he kicked a ball so hard that Toxic Kate lost a leg!	FOR
Butalik Viterin	CH	56	2	blocked	One of the best Players in the whole of Fulbo Galaxy. His innovative and altruistic style of play is always the talk of the stadium when he plays. Fans also like to talk about his awful fashion choices!	MID
Tom Paris	CH	57	1	blocked	If looking good is what Fulbo play is all about then this guy has already won. He once turned up two weeks early for a game to make sure his hair was perfectly styled in time for kick off.	FOR
Cameela Camil	CH	58	1	blocked	The best bad Player out there. He plays the ugliest style of Fulbo in an extremely beautiful way. The fans love to hate him and he hates to love them. Teammates often accuse him of disappearing when he's on the pitch, which he agrees with by denying it.	DEF
Oliver Plant	CH	59	1	blocked	The first female Player in Fulbo Galaxy! She won the award for Best Female Player in Fulbo Galaxy for three consecutive years (she was the only woman). Nowadays she is officially the best 'Cameela Camil' in Fulbo Galaxy.	MID
Bitoshi Koinamoto	CH	60	3		Some say he invented Fulbo but he denies that, of course. In fact, he denies it so hard that it's almost suspicious. He plays Fulbo very well. Some say he plays too well for a man that didn't invent the sport!	FOR
Nadie	CH	61	2		The most complained about Player in the game. The fans have no idea who he is, the referees don't have him listed on their team sheets and his teammates are constantly asking, 'Who the hell is this guy?'	FOR
Koko Momo	CH	62	2		Known predominantly for her role on one of the most successful teams in Fulbo history. She was actually an unused substitute and never played for the team. Some fans believe she was a destructive force responsible for the teams eventual demise.	DEF
Charlote Verdoux	CH	63	4		Shy, retiring and wonderful to watch. He is the silent star of Fulbo Galaxy. IMPORTANT: Do not confuse him with the super evil German forward from the 30s and 40s. They both have the same mustache but their style of play is worlds apart!	DEF
Cardenal Salchipapa	CH	64	4		A Fulbo Galaxy Player with divine skills. Delicate touches and brutally hard tackles combine to form a true defensive leader on the pitch. Many people find it hard to believe that a Player like this exists.	DEF
Machote	CH	65	4	blocked	The only Fulbo Player that is delighted not to play ball. He has zero defensive skills and an unrivaled ability to attack. He once had a penalty shot saved and retaliated by removing Tony Tank's arm. He hasn't missed a penalty since!	DEF
Coin Guru Guy	CH	66	2		Fans love to chant his name during games. They also love to ask him questions about their finances. When interviewed about this he said, "I don't understand these chants. I'm a Fulbo Player, not a financial adviser!"	MID
Z Sea	CH	67	2	blocked	He's the most opinionated Player in the game but those opinions change the moment you disagree with him. He has used these agreeable techniques to become one of the most successful defensive Players in Fulbo Galaxy.	MID
Capitan Starpain	CH	68	2	blocked	His skills are so spectacular that he's often left alone on the pitch with plenty of space around him. He's the loneliest Player in the Fulbo Galaxy univere but you wouldn't know that to look at him.	FOR
Kosmokim	CH	69	2		This little guy has a low center of gravity which comes in handy as an attacking Player. He moves quickly, he stays on his feet and he's fantastic at creating space before launching missile strikes at goal!	MID
Comandante TNT	CH	70	2		She's by far the loudest Player to grace the Fulbo Galaxy pitch. If she's not singing then she's screaming as she attacks the opposition goal. Thankfully, in a space suit, nobody can hear her scream. Nor can they hear her sing.	DEF
Cosmonauta Jazz	CH	71	1		The first female Player to venture into space! She was voted by fans as ‘Player Most Wanted To Be Exiled from Earth.’ She received 100% of the vote, leaving fans - and her - feeling over the moon.	FOR
UFO Guy	CH	72	1		The most mysterious Player in the Fulbo Galaxy. He hides behind a mask and a full space suit but his silky skills on the ball are what really keep people at bay. He’s fast, he’s smart, and he’s out of this world!	FOR
Elmer Linkstar	CH	73	1	blocked	Formerly known as the richest man on Earth. He’s still filthy rich and only lost this title because he left the planet. Each time he returns to play Fulbo he once again becomes the richest man on Earth.	MID
Somebody	CH	74	1		This Fulbo Galaxy star grew up being told that if he worked hard, someday he could really be somebody. Nowadays, he really is somebody and the fans love him. After all, we all need somebody to love.	FOR
Alguien	CH	75	1		Someone told me that this guy was the best looking man in the world. Someone also told me he was by far the greatest Fulbo Player in the world. I guess this means someone has a high opinion of themselves.	DEF
Anónima	CH	76	1		He’s the oldest Player in the game, we think. Legend has it that he turned to playing Fulbo after fighting in two world wars. Some fans affectionately know him as 'the Unnamed Soldier.'	MID
El Pinche Guevara	CH	77	3		He lives to entertain the poor with his Fulbo skills and with his parties. If you’re poor and at home, then you should take a siesta because once he’s on the pitch it’s time for a fiesta!	FOR
Potato Cheff	CH	78	3	blocked	The slowest Player in Fulbo Galaxy! We can't remember which came first, his style of play or his decision to cook meals during the game. It all seemed so long ago now. He likes his steak the way he likes his goals. Rare!	MID
Xalapeño	CH	79	3		An attacking Player with a real hunger for the ball. When he’s not scoring goals, he can be found working the grill at a barbecue. If you want a winning team or a decent burger then this is your man.	MID
El Trompo	CH	80	2		A genuine man of mystery. As a baby, he was abandoned in a basket on the Mexican side of a huge border wall. Luckily, he was found by a Fulbo-loving family who raised him to be a world class Player.	DEF
Perita Verón	CH	81	2		A passionate leader and a fan favorite. She loves to hear a crowd cheer her name when she scores a goal. However, after a bad foul by El Trompo last season she turned on the fans and screamed, “Don’t cry for me if I’m injured.”	DEF
Transparento	CH	82	1		The oldest monster on the block. He's been there, scared that, and he's even got the T-shirt to prove it. He lost his pants after a particularly bad low tackle by Chunky Doll.	DEF
Feratvs	CH	83	2		A bonafide Fulbo legend. He's been around since the beginning of the game and his mission remains the same: to suck blood and get some color back into his cheeks. He once damaged his fangs on Cobra's neck rings in an incident fans call 'the grayscale fail'.	FOR
Patra	CH	84	3		A Pharaoh in Egypt but just another Player on the pitch. Patra loves Fulbo but she doesn't think Fulbo loves her. Her demands for a milk bath after every game have so far been rejected. Her requests for a milk shower have also been declined.	MID
El Undead	CH	85	1		Part of the new generation of Fulbo Players. He came to the game shortly after dying. One minute he was trying a new blend of tea his girlfriend had discovered and the next thing he knew he was playing center forward. A meteoric fall from life and rise to stardom.	DEF
El Dead	CH	86	1		A poor and lazy student turned world-class Fulbo Player. His final words as a college student were, "The dog ate my homework!" Unfortunately, the homework had been written on his left arm.	MID
Toxic Kate	CH	87	1		Copacabana beach's loss is Fulbo's gain. Don't expect this supermodel to back out of a challenge on the pitch. She remains the only former living person in history to sunbathe during a solar flare.	FOR
Mortadella	CH	88	2		Not the only victim of knife crime in the game but definitely the politest victim of knife crime in the game. In fact, she's so polite it's hard to figure out why she became a victim of knife crime.	FOR
Katsumi Takako	CH	89	2		She was taken to the district of Geon in Ktoyo at an early age and trained in the art of Fulbo. She now possesses unique skills that are far superior to any other Player in the Fulbo Galaxy universe.	MID
Maribot	CH	90	2		The most divisive Player of Fulbo the world has ever seen. Some fans believe the style of play is powerful and visually beautiful and yet others think it is underwhelming, obvious and naive.	FOR
Golden Maribot	CH	91	3		A hugely divisive Player. Either they have the skills to play Fulbo in the most beautiful way or they have a naivety that allows them to play underwhelming Fulbo in a pedestrian style. Whichever is true, at least they’re made of gold!	DEF
Angeles Davidson	CH	92	1		Goalscorer and social justice warrior! If you want to win on the Fulbo pitch then she's your girl. If you want to win off the pitch she's still your girl. If you just want to relax and have fun then she's definitely not your girl.	DEF
Bat Brat	CH	93	2		A tabloid star and all-round fan favorite. He draws opposition Players in with his innocent style of play before revealing an attacking ability that overpowers all. Beware, this guy's style of play has teeth!	FOR
Michael Five	CH	94	1		This young man ran away from home to chase his dream of becoming a Fulbo Star.  His father regularly protests outside of the games. He demands that Michael be returned to the church gospel choir and is currently suing Fulbo for loss of earnings. 	DEF
Mickey Naj	CH	95	3	blocked	The baddest b*tch of all and leader of the hottest, strongest, finest, most brilliant group of badass b*tches in the world of Fulbo. If she's playing against you then you're losing the game. Don't hate this Fulbo Player! Hate the game!	MID
Pedro Persuasivo	CH	96	3		Sometimes this guy is the best Player on the pitch and at other times he will be the worst Player you've ever seen. Luckily he has a way with words and that helps to score goals even when his skills cannot.	DEF
Mr. Nice Guy	CH	97	3		Never judge a book by the cover! Unless you see a book cover that looks dangerous and you decide the inside will likely be soft and warm. In that case you should definitely judge a book by the cover - and this Fulbo Player by his terrifying face.	DEF
Dan, el Diplomático	CH	98	2		Dan is always trying to solve the problems that crop up on the Fulbo pitch. He believes that his words can help to remedy anything that happens in the game. However, his words are probably more effective because he's holding a knife in the air.	FOR
El Embajador	CH	99	1		Leader of The Pacifits and a defensive powerhouse. He was once an out-and-out attacking player but soon transitioned to defense when he realized that Fulbo games are never lost if you refuse to concede goals.	MID
Sorry	CH	100	1		This Player definitely knows someone that did something wrong. We don't know who this Player is though, so we don't know who he knows, or what they did wrong. All that aside, he plays Fulbo pretty well considering he has a bag on his head.	DEF
Carlos Danger	CH	101	1	blocked	A former hot prospect turned journeyman of Fulbo. He began his career playing with an exciting and innovative style but now chooses a much more understated technique. He once lost his pants in a horror tackle and has never fully recovered.	FOR
Mamma Donna	CH	102	4	blocked	Superstar. Style Icon. Sex Symbol. She used to be known as all of these things. Nowadays she's just a Fulbo Player. She's just a super, stylish, iconic and sexy Fulbo Player. Don't you dare forget it!!	FOR
Green Gladys	CH	103	1		A green goddess and a green god all wrapped up in one green package. If you're looking for someone that eats their greens, plays well on the green stuff, and maybe even wins you some green, then Gladys is the one for you.	MID
Whimply Red	CH	104	1		A huge fan of the red card. In fact, they just can't get enough. If you're looking for a game that ends because every Player has been sent off then you'll do well to get this scarlet lover on your team. They won't be on your team for long though!	DEF
Goldie	CH	105	1		A once-in-a-generation Player obsessed with finding golden opportunities in front of goal. They have golden boots, golden shorts, golden socks and even golden eyes. If your team is lacking mettle then grab some gold!	FOR
Seed Visual	CH	106	2		A Fulbo rebel that hates authority and plays only to encourage others into rallying against the system. They hate to lose one-nil and they hate to win one-nil too. Why are so many of these scores in binary?	DEF
Marilyn Mostra	CH	107	2		She is without doubt the most beautiful woman to ever grace the game of Fulbo Galaxy. Her hair is better than yours, her outfits are better than anyone else's and her opinions of herself are second to none.	MID
Exotique Glitterson	CH	108	1		The most tackled Player in the game despite rarely having the ball. Fans believe it's because she needs to improve her gameplay but she disagrees. She once told a reporter, "When you look as good as me, Players tackle you just to get closer."	DEF
Glenda Galaxy	CH	109	2		She proudly plays Fulbo for the LGBTQ+ community and believes that every kick is a chance to put right what once went wrong. She once asked the Fulbo owners permission to celebrate her goals with a minute's silence.	DEF
Lux Electrica	CH	110	1		An electric Player in more ways than one. When her team is playing well it's because she charges them up but when they're losing it's often because she's being a drain. Either way, when she's playing the scoreline is shocking!	FOR
Sam Ultra	CH	111	2		Her favorite fan chants would be 'There's only one Sam Ultra!' or 'She's by far the greatest Player the world has ever seen!' She spends all of her time waiting to hear these chants for the first time and accruing red cards.	DEF
María Gonzalez	CH	112	1		Don’t judge a book by its cover. Unless you happen to think this book looks like a sensitive and loyal Mexican lesbian cholo. If you manage to get all of that from the cover then judge away!	MID
Tom of Iceland	CH	113	2		Raised in the cold underground punk rock clubs of the coldest country on the planet, his skin is capable of withstanding temperatures as low as -235°C.	MID
Leather Wurst	CH	114	1		A Player with the best moves on the Fulbo pitch. Fans watch in awe at the shapes he makes and the positions he gets himself into when playing the game. Unfortunately, raving to imaginary techno music rarely leads to goals.	DEF
Ford Hellman	CH	115	3	blocked	The headbanging, hellraising king of wanton behavior on the Fulbo pitch. If you're not with him then you're against him and if you're against him then you had better prepare for your own destruction. It's metal time!	FOR
PedroPower	CH	116	2		An irresistible Player to watch. He plays like a man that has just been released from a prison of denial and repression. He calls that prison his 'hometown' and he is never going back. Their loss is Fulbo Galaxy's gain!	DEF
Golden Dummy	CH	117	1		Nobody knows how but this genius learnt to play Fulbo from the front seat of a car crash. It was a baptism of fire but it sure worked out for him. You'll want this dummy on your side in a scrape. 	DEF
Silver Dummy	CH	118	1		Nobody in the league kicks a ball quite like this dude! Every shot he makes has enough power to shatter a windshield. Get this dummy on your side and let's go crash some games.	FOR
Husam Sandstorm	CH	119	1		When calm he allows wave after wave of attacking play to wash over him like the human equivalent of sand on the beach. When upset, he's like a sandstorm, appearing out of nowhere and leaving only devastation in his wake.	MID
Ahmed y la pequeña Fatima	CH	120	2		Fatima loves Fulbo but Eagles lack the feet required to play Fulbo. Luckily, Ahmed loves Fatima and he has feet so plays the game for her. They're essentially a team playing within a team. Is that allowed? Yes.	FOR
Primate Aburrido	CH	121	4	blocked	Don't use	
Frank Lancing	CH	122	2	blocked	Don't use	
Gurghle, el Zhnorx	CH	123	2		Hailing from the Planet Krogh and representing his hometown of Grrr, this outsider was born to play the beautiful game. He fully intends to do this until next Saturday when his army arrives to destroy the Earth.	MID
Xardra, el Warrrwan	CH	124	3		The last surviving member of her species and yet the first of her people to ever play Fulbo. If any more of her kind had survived they would have easily dominated the sport for decades to come. Domination averted!	DEF
Séptimo Hijo	CH	125	3		A Fulbo Player, a werewolf, and a vegan. In that order too. He dreams of nothing more than scoring goals before sinking his fangs into a juicy soy meat burger with portobello mushrooms and soul destroying fake cheese.	FOR
Bombelle	CH	126	2		A futuristic style of Player with a taste for villainous behaviour. Her pace is out of this world and her focus is second to none. Like a rocket after it has been launched, she finds the target or explodes on the way.	FOR
