Name	Rol	ID	Tags
Oliver Plant	CH	58	internet
Bitoshi Koinamoto	CH	60	internet
Nobody	CH	61	internet
Coin Guru Guy	CH	66	internet
Z Sea	CH	67	internet
Somebody	CH	74	internet
Someone	CH	75	internet
Unnamed	CH	76	internet
KryptoKid	GK	16	internet
Harold Payne	CH	11	meme
Mickey Naj	CH	95	meme
Bored Ape	CH	121	meme
Painhiding Schmupfth	CH	140	meme
Finn, the Noisy Elf	CH	151	meme
Unprofessional Santa	CH	152	meme
Futcon	CH	156	meme
Power Doge	GK	17	meme
Chunky Doll	CH	2	ninio
Ceresitas	CH	4	ninio
Poonga Loompa	CH	5	ninio
Spud Boy	CH	9	ninio
Gorggy	CH	17	ninio
Burt Simmons	CH	47	ninio
Lissa Simmons	CH	48	ninio
Delfin	CH	154	nohumano
Shrek	GK	13	ninio
Golden Maribot	CH	91	nohumano
Golden Dummy	CH	117	nohumano
Silver Dummy	CH	118	nohumano
Gurghle, the Zhnorx	CH	123	nohumano
Xardra, the Warrrwan	CH	124	nohumano
Diskoteko	CH	130	nohumano
XD-Vision	CH	131	nohumano
Jennsen, the Witch Elf	CH	153	nohumano
Gloo Gloo	CH	154	nohumano
Mergod	GK	24	nohumano
Kim Yin	CH	3	presidente
Lizzie Queen	CH	8	presidente
Ronald W. Thrumb	CH	16	presidente
Macricio Mauri	CH	26	presidente
La Doctora	CH	27	presidente
Bolsonero	CH	29	presidente
Giuseppe Stalini	CH	40	presidente
Vladimir Putronik	CH	42	presidente
Chester Guevara	CH	51	presidente
Perita Verón	CH	81	presidente
León Trovich	GK	14	presidente
Peron	GK	15	presidente
Liberty Sister	GK	7	presidente
RuPole	CH	43	rupaul
Green Gladys	CH	103	rupaul
Whimply Red	CH	104	rupaul
Goldie	CH	105	rupaul
Seed Visual	CH	106	rupaul
Marilyn Mostra	CH	107	rupaul
Exotique Glitterson	CH	108	rupaul
Glenda Galaxy	CH	109	rupaul
Lux Electrica	CH	110	rupaul
Sam Ultra	CH	111	rupaul
María Gonzalez	CH	112	rupaul
Tom of Iceland	CH	113	rupaul
Leather Wurst	CH	114	rupaul
Ron Hellford	CH	115	rupaul
Peter Power	CH	116	rupaul
Chester Wilde	GK	22	rupaul
Cancelado	CH	45	sinicos
Carlos Danger	CH	101	sinicos
Lance Franklin	CH	122	sinicos
Your Nightmare	CH	134	sinicos
Parolio, the Clown	CH	135	sinicos
Samuel LaMerde	CH	136	sinicos
Broken Brooke	CH	137	sinicos
Rongo Sunn	CH	139	sinicos
Frank Wolfstreet	CH	142	sinicos
Vimbo ´Vred´ Slice	GK	3	sinicos
Captain Starpain	CH	68	space
Kosmokim	CH	69	space
Commander Star	CH	70	space
Star Pilot Jammy	CH	71	space
UFO Guy	CH	72	space
Elmer Linkstar	CH	73	space
Fireboy	CH	133	space
Homeboy	GK	20	space
Punga Punga	CH	1	tercermundo
Fiscal Nissmar	CH	7	tercermundo
Average Guy	CH	13	tercermundo
Hot Pesto	CH	20	tercermundo
Caniggia Ice	CH	22	tercermundo
Alfredo 'Tota' Messina	CH	23	tercermundo
Feto Etchecopar	CH	28	tercermundo
Claudio María Jipoide	CH	33	tercermundo
La chambona	CH	34	tercermundo
Guillermo Reno	CH	37	tercermundo
El Druppy	CH	38	tercermundo
Newbie	CH	39	tercermundo
Alto Patty	CH	52	tercermundo
Navidad borracho	CH	152	tercermundo
Navidad	CH	153	tercermundo
Gordo Bazooka	GK	9	tercermundo
Central Mass	GK	11	tercermundo
Mischa Gurkovsky	CH	6	violento
Persuasive Pedro	CH	96	violento
Diplomatic Dan	CH	98	violento
The Ambassador	CH	99	violento
José Cadaver	CH	132	violento
Slappy Willy	CH	141	violento
Black Hole Sam	CH	143	violento
Richard Orion	GK	2	violento
Motorhome	GK	6	violento
Pato Vicca	GK	12	violento
Feiman	RF	1	
Joe Zen	RF	2	
Fulbo Friendly	RF	3	
Squidy	RF	4	
NewPaul	RF	5	
The Big G (Ganesha)	RF	6	
Flash Ramsay	RF	7	
