tipo	color	Titulo grande	copete	texto	variables	diccionario
hero	verde	[result]. ¡GANAMOS POR TRES GOLES!	CRUZ DE ORO	Un partido limpio y elegante ¡Enhorabuena por esta victoria llena de buenos valores!	played_difGoles=3	[team1] y [team2]
hero	rojo	UNA COMBINACIÓN EXQUISITA	FULBO GOURMET	"Nos dio pena por unos segundos, pero luego lo superamos", declaró [goleador_team1].	played_difGoles=4	[equipo] tu equipo
hero	rojo	[result]. ¿HAY ALGO MÁS HERMOSO QUE EL FÚTBOL?	DEBATES	¿Acaso no es esta la magia que surge al ver a dos grupos de personas corriendo con una pelota?	played_difGoles=4	[equipo] tu equipo
hero	rojo	FINAL DEL JUEGO	DESTRUCTORES	Si esto hubiera sucedido fuera de la cancha, hubiera calificado de bullying.	played_difGoles=4	[equipo] tu equipo
hero	rojo	GANAR [result].	DILO	Lo que sucedió fue impredecible.	played_difGoles=4	[equipo] tu equipo
hero	rojo	ESTE EQUIPO ES PROMETEDOR	TRAIGA PATROCINADORES	"Siempre venimos a verlos." gritaron emocionados los hinchas después de este partido y los goles de [goleador_team1].	played_difGoles=4	[equipo] tu equipo
hero	rojo	[result]. ¡DIOS MÍO!	MILAGROS	El equipo realizó una ceremonia de celebración de goles. Los hinchas iniciarán un proceso de beatificación para canonizar a [goleador_team1].	played_difGoles=5	[team1] y [team2]
hero	rojo	[result]. LLUVIA DE GOLES	UNA INUNDACIÓN	[goleador_team1] es el mejor jugador del mundo, al menos durante esta media hora.	played_difGoles=5	[team1] y [team2]
hero	rojo	[result]. ¡GANAMOS POR CINCO GOLES!	GENIO	El equipo contrario no pudo hacer nada.	played_difGoles=5	[team1] y [team2]
hero	rojo	[result]. MUCHAS GRACIAS	ÍDOLOS	La mamá del capitan contrario dice que estos resultados "son de lesa humanidad". Llevaría el asunto a tribunales internacionales.	played_difGoles=5	[team1] y [team2]
hero	rojo	[result]. LOS OPONENTES NO PUDIERON HACER NADA	¡MEJOR SUERTE LA PRÓXIMA VEZ!	Hicieron todo lo posible por marcar la diferencia, pero el equipo fue superior.	played_difGoles=5	[team1] y [team2]
hero	rojo	[result]. PREMIO DE ORO	PARA ESO NI GANABA	[goleador_team1], máximo goleador del partido, recibió incómodamente el supositorio de oro de la Fifarola.	played_difGoles=6	[team1] y [team2]
hero	rojo	[result]. CANIBALISMO	GRAN APETITO	El equipo tuvo un festín. "La próxima vez, aumenten sus estadísticas", dijo [goleador_team1] burlonamente a sus oponentes.	played_difGoles=6	[team1] y [team2]
hero	rojo	[result]. ESTE EQUIPO JUEGA UN FÚTBOL DE ALTO NIVEL.	VOLAR	Un poeta comparó al equipo con un águila que vuela alto en busca de pequeñas presas. Aclaró que los oponentes serían la presa, pero que todo está bien.	played_difGoles=6	[team1] y [team2]
hero	rojo	[result]. EL MEJOR DEPORTE DEL MUNDO.	NOSTALGIA	[goleador_team1] hizo un antes y un después. En el futuro, los niños leerán sobre este juego en los libros de historia.	played_difGoles=6	[team1] y [team2]
hero	rojo	¡MASACRE TOTAL!	TENGO MIEDO	[result]. Fue una masacre. El equipo humillado está considerando demandar por daños psicológicos.	played_difGoles=7	[team1] y [team2]
hero	rojo	[result] ¡MANOS ARRIBA, ESTO ES UN ASALTO!	CORRER	Estos resultados consagran al equipo como una verdadera metralleta de destrucción masiva.	played_difGoles=7	[team1] y [team2]
hero	rojo	[result] ¿CÓMO EXPLICO ESTO?	INCREÍBLE	Los editores están completamente atónitos por lo que acaba de suceder.	played_difGoles=7	[team1] y [team2]
hero	rojo	¡UN PARTIDO INOLVIDABLE!	SUEÑO CUMPLIDO	[goleador_team1] es el jugador del momento. Tras este partido recibió numerosas ofertas de otros clubes, pero es fiel a tu equipo. Así es el fútbol.	played_difGoles=7	[team1] y [team2]
hero	rojo	EL MEJOR PARTIDO DE LA HISTORIA.	UN DÍA INOLVIDABLE	[result]. Un mar de lágrimas inundó la multitud. Los científicos mencionaron que este nuevo afluente limpiará los ríos adyacentes. Un verdadero triunfo de la vida.	played_difGoles=7	[team1] y [team2]
caja_1_tercio	amarillo	"YA NO JUEGO MÁS"				[random] jugador random de ambos equipos
caja_1_tercio	amarillo	"NO HABLARÉ SIN MI REPRESENTANTE"				
caja_1_tercio	amarillo	"HE VENIDO PARA  APRENDER Y CONTRIBUIR"				
caja_1_tercio	amarillo	"LOS HECHOS HABLAN MÁS QUE LAS PALABRAS"				
caja_1_tercio	amarillo	"FULBO ME RESCATÓ DE UN FUTURO INCIERTO"				
caja_1_tercio	amarillo	"FULBO ME HIZO MEJOR PERSONA"				
caja_1_tercio	amarillo	"GANAR. PASE LO QUE PASE"				
caja_1_tercio	amarillo	"FUE UN PARTIDO DIFÍCIL"				
caja_1_tercio	amarillo	"ESTE ES FULBO"				
caja_1_tercio	amarillo	"TENEMOS QUE GANAR"				
caja_1_tercio	amarillo	"EL ÁRBITRO FUE MUY INJUSTO"				
caja_1_tercio	amarillo	"CADA PARTIDO ES UNA FINAL"				
caja_1_tercio	amarillo	"EL EQUIPO ES FUERTE"				
caja_1_tercio	amarillo	"CUALQUIERA PUEDE TENER UN MAL DÍA"				
caja_1_tercio	verde	"ME HICE PIPÍ"				[goleador_team1] 
caja_1_tercio	rosa	"NO ME GUSTA PERDER"				
caja_1_tercio	verde	"GANAR ES FÁCIL"				
caja_1_tercio	rosa	"EL SEGUNDO LUGAR ES PARA LOS PERDEDORES"				
caja_1_tercio	rosa	"SEGUINOS EN IG Y X COMO @FULBOSTARS"				
caja_1_tercio	amarillo	"SI TE ESTÁ GUSTANDO, COMPARTÍ UN VIDEO"				
caja_1_tercio	verde	"¿YA TERMINÓ EL PARTIDO?"				
caja_1_tercio	rosa	"ME SACARON DE CONTEXTO"				
caja_1_tercio	rosa	"EL UNIVERSO ESTÁ HECHO DE FULBO"				
caja_1_tercio	amarillo	"LAS CÁBALAS SON CIENCIA"				
caja_1_tercio	rosa	"SE LO DEBO TODO A MI FAMILIA SEMIFUNCIONAL"				
caja_1_tercio	amarillo	"¿SABES QUIÉN SOY?"				
caja_1_tercio	rosa	"LA DEFENSA GANA PARTIDOS"				
caja_1_tercio	verde	"¡FULBO ES LA VIDA!"				
caja_1_tercio	rosa	"JUEGO PARA LOS HINCHAS"				
caja_1_tercio	rosa	"NACÍ PARA MORIR JUGANDO AL FULBO"				
caja_1_tercio	rosa	"MI FULBO NO CONOCE LÍMITES"				
caja_1_tercio	rosa	"MI SUEÑO ES LEER Y ENTENDER UN LIBRO"				
caja_1_tercio	verde	"SI NO ME MATA, ME HAGO MÁS FUERTE"				
caja_2_tercios	verde	"PREOCUPACIÓN SÚBITA"		Se acordó de pronto que mañana le vence la cuota de Merpago Fácil		
caja_2_tercios	rosa	"NECESITAMOS UN CAMBIO DE RUMBO"		[randomly] ha exigido que el juego sea portrait para que sea posible correr de arriba abajo en lugar de de izquierda a derecha.		
caja_2_tercios	rosa	"FALLÉ EL GOL PORQUE ME AHOGUÉ EN MI PROPIA SALIVA"		Un problema médico que le puede ocurrir a cualquiera.		
caja_2_tercios	rosa	"EL OTRO EQUIPO TENÍA NARCOLEPSIA"		Un rival ideal para anotar puntos.		
caja_2_tercios	rosa	"PODRÍAMOS GANAR SI LOS DEMÁS USARAN SUS PIERNAS"		La estrella estaba muy enfadada con el rendimiento del resto del equipo.		
caja_2_tercios	rosa	"TENEMOS QUE TENER MÁS FE"		Parece que el futbolista está esperando un milagro para mejorar su rendimiento deportivo.		
caja_2_tercios	rosa	"NO QUERRÍA SER ÁRBITRO NI POR UN DÍA"		"¿Qué pasaría si los papeles se invirtieran?", preguntó el futbolista, con un tono algo filosófico en su declaración.		
caja_2_tercios	rosa	"LOS RESULTADOS NO IMPORTAN"		"Paz, amor e igualdad de objetivos es la nueva moda", gritó el futbolista con una sonrisa.		
caja_2_tercios	rosa	"ME GUSTARÍA SER CAPITÁN"		El futbolista tiene sueños ambiciosos que cumplir.		
caja_2_tercios	rosa	"NECESITO MEJORAR MIS ESTADÍSTICAS"		Gritó desesperadamente hacia la nada misma.		
caja_2_tercios	rosa	"NUNCA ME SUBEN LAS ESTADÍSTICAS"		El jugador cree que hay una conspiración en su contra.		
caja_2_tercios	verde	"LA HIERBA ESTABA DEMASIADO LARGA"		Esta fue la respuesta del jugador cuando se le preguntó sobre su actuación en el último partido.		
caja_2_tercios	rosa	"ME TORCÍ EL DEDO MEÑIQUE"		Parece que el futbolista necesitará un periodo de recuperación de aproximadamente 18 meses.		
caja_2_tercios	rosa	"SOÑÉ QUE GANÁBAMOS"		Desafortunadamente el réferi soñó otra cosa.		
caja_2_tercios	naranja	"TENÍA RESACA, NO SE LO DIGAS A NADIE."		"No es alcoholismo; es tradición", pensó en decir, pero no le salieron las palabras.		
caja_2_tercios	verde	COMERCIO DE HIERBAS		¡Jugador sorprendido vendiendo hierba de los campos de juego por altas sumas de dinero!		
caja_2_tercios	naranja	"PROHIBIDOS LOS ZAPATOS DE PAYASO"		Se han prohibido los zapatos de talla extragrande por considerarlos peligrosos y deportivamente desleales.		
caja_2_tercios	rosa	¡CULPABLE!		¡La jugadora fingió un embarazo para evitar repetir la copa!		
caja_2_tercios	rosa	CRINGE		La peor figura del campeonato, por afano.		
caja_2_tercios	naranja	PENAL SUSPENDIDO		"Aquí nadie es un santito", consensuaron las autoridades.		
caja_2_tercios	verde	NO PISAR EL CESPED		Esta semana se suspendieron diez partidos debido a que el césped no tenía la altura correcta.		
caja_2_tercios	rosa	MALAS ESTADÍSTICAS		Ocho de cada diez jugadores no creen en las estadísticas de los partidos.	 	
caja_2_tercios	rosa	CACHIVACHE		El jugador desarrolla un miedo irracional a los objetos esféricos.		
caja_2_tercios	amarillo	SIENTO CALOR		Los jugadores se negaron a jugar en el estadio de la playa bajo el sol del mediodía.		
caja_2_tercios	rosa	¡NUEVO RÉCORD DE ASISTENCIA!		Una mujer hace historia al dar a luz en un estadio con todas las entradas vendidas.		
caja_2_tercios	verde	"¡DAME MÁS!"		El jugador mejor pagado de la liga exige más dinero.		
caja_2_tercios	verde	FINANCIACIÓN COLECTIVA		Toda la multitud invade el campo después de que un maletín lleno de dinero cayera del cielo.		
caja_2_tercios	rosa	COCOLICHE TOTAL		En Fulbo Stars juegan cocineros, zombies, políticos, personajes de ficción y memes, pero no juega ni un futbolista.		
caja_2_tercios	verde	CANINO NINGUNO		Un perro invade el campo y marca hace 9 goles en veinte minutos.		
caja_2_tercios	rosa	CHILLI CON GOAL BLITZ		Las investigaciones demuestran que los jugadores marcan más goles después de comer chile.		
caja_2_tercios	amarillo	CONFUSIÓN DE LA PELOTA		Un balón extra en el campo provoca caos y una avalancha de goles.		
caja_2_tercios	verde	¡MIRA QUIÉN ESTÁ ANOTANDO!		El árbitro anula todos los goles tras quedar cegado por el sol.		
caja_2_tercios	verde	LUCES DE CÉSPED		Una granja de cannabis presta el equipo de iluminación tras la avería del sistema del estadio.		
caja_2_tercios	amarillo	VIVITO Y COLEANDO		Un jugador burla a la muerte y anota un triplete en el mismo día.		
caja_2_tercios	rosa	EL AMOR ESTÁ POR TODAS PARTES		Los jugadores hacen un pacto y se niegan a marcar goles el día de San Valentín.		
caja_2_tercios	rosa	"¿QUIÉN SOY YO?"		Las escenas de terror provocan pérdida de memoria.		
caja_2_tercios	amarillo	TRISTEZA DOMINICAL		Los jugadores se declaran en huelga en un intento por prohibir los partidos de los domingos.		
caja_2_tercios	rosa	"¡NO TODOS PODEMOS SER GANADORES!"		Ambos equipos recibieron los puntos después de que el partido fuera suspendido.		
caja_2_tercios	rosa	"NOS VEMOS EN LOS TRIBUNALES"		Árbitro demandado por decisión arbitral controvertida sobre un penal.		
caja_2_tercios	amarillo	¡PROHIBICIÓN DE FRUTAS!		Una falta provocada por una cáscara de plátano conlleva una sanción por parte de la liga.		
caja_2_tercios	rosa	"SOY UNA PERSONA ORIENTADA A LOS OBJETIVOS"		La racha se extiende a diez partidos sin anotar.		
caja_2_tercios	rosa	"LOS CÁNTICOS PUEDEN HACER DAÑO"		Los jugadores protagonizan huelgas en toda la liga.		
caja_2_tercios	verde	BASES VEGETALES INCLUIDAS		El equipo sigue invicto desde que se hizo vegano.		
two_characters	rosa	NUEVOS ENEMIGOS		[1] odia a [2] desde que le robó unas tobilleras.	love	
two_characters	rosa	¿PELEA O FLIRTEO?		[1] y [2] se golpean entre sí cuando el entrenador no está mirando.	love	
two_characters	rosa	MEJORES AMIGOS		[1] y [2] ¡compraron un collar de la amistad!	love	
two_characters	rosa	¡SON FAMILIA!		¡Parece que el primo segundo de [1] está saliendo con [2]!	love	
two_characters	rosa	LLORAR JUNTOS		Al hablar del recorrido en el equipo, [1] y [2] comenzaron a llorar.	love	
two_characters	rosa	PIJAMADA FULBERA		[1] y [2] tuvieron una noche de películas y ¡mascarillas faciales!	love	
two_characters	rosa	IRSE DE VACACIONES		[1] y [2] compraron juntos un paquete turístico a San Clemente del Tuyú, ¡se van en 18 meses!	love	
two_characters	rosa	LA TRAMA SE COMPLICA		Se dice que [1] y [2] están conspirando contra el entrenador.	love	
two_characters	rosa	ELLOS VIVEN JUNTOS		[1] ¡invitó [2] a vivir en su monoambiente en Belgrano C. "A media cuadra tenemos un Estarbax"	love	
two_characters	rosa	QUIEREN SER CAPITANES		[1] y [2] están compitiendo para ser el capitán del equipo.	love	
two_characters	rosa	FRUSTRACIONES MUTUAS		Se dice que [1] odia que [2] lo elija último cuando entrenan.	love	
two_characters	rosa	LA AMISTAD TERMINÓ		[1] y [2] dejaron de seguirse mutuamente en las redes sociales.	love	
two_characters	rosa	MALOS COMPAÑEROS DE PISO		Parece que [1] aprieta todos los botones del inodoro cuando [2] se está duchando.	love	
two_characters	rosa	SON DEL MISMO BARRIO		[1] y [2] se dieron cuenta de que vivían en la misma cuadra ¡pero nunca se habían visto!	love	
two_characters	rosa	¿PODEMOS IR A LA PLAYA?		[1] y [2] planean irse de viaje en febrero si el entrenador lo permite.	love	
two_characters	amarillo	MALA ONDA		Actos de violencia entre [1] y [2] en el último juego.	love	
two_characters	rosa	SON ALMAS GEMELAS		[1] y [2] comparten el mismo color favorito: ¡beige!	love	
two_characters	violeta	UNA CASA DE TRES VÍAS		Parece que hay alguien nuevo en la vida de [1] que está destruyendo su relación con [2].	love	
two_characters	rosa	¡SE ENAMORARON!		"Sucedió mientras estábamos jugando", aclararon ambos jugadores al unísono.	love	
two_characters	rosa	¡TODO PASÓ!		[1] y [2] se besaron frente a las cámaras	love	
two_characters	rosa	"¡NO SOMOS NOSOTROS!"		[1] y [2] envían un comunicado de prensa afirmando que las fotografías difundidas fueron hechas con IA.	love	
two_characters	rosa	EL COLOR DE LA LEALTAD		[1] y [2] están considerando cambiarse al equipo más nuevo del mundo de Fulbo Stars porque "tiene los colores más lindos"	love	
two_characters	rosa	CONTROL DE PORCIONES		[1] y [2] llamaron a la policía para quejarse del tamaño de las hamburguesas en un restaurante local. Uno las consideró ínfimas, y el otro enormes.	conflict	
two_characters	rosa	PIEDRA SOBRE PIEDRA		Un Ferrari cubierto de diamantes fue entregado recientemente a la estrella de la liga, [1], ¡el mismo día que [2] compró un Porsche cubierto de esmeraldas!	conflict	
two_characters	rosa	¡AHORA ESTÁN COCINANDO!		[1] unió fuerzas con [2] este fin de semana para establecer un nuevo récord al cocinar el taco de mazamorra más grande del mundo. También fue el primer taco de mazamorra del mundo.	neutral	
two_characters	rosa	JUICIO POR COMBATE		[1] exige un duelo de espadas al amanecer para resolver una disputa de penalización con [2].		
two_characters	rosa	DOBLE CARA		[1] y [2] acaban de revelar nuevos tatuajes, ¡el uno del otro!		
two_characters	rosa	ASOCIACIÓN DEFENSIVA		[1] y [2] revelan una relación. ¿Se llevarán bien también fuera del campo?		
two_characters	rosa	POR LO MENOS SE HACEN CARGO		[1] y [2] estan iniciando una bulliciosa relación. "Queremos que sea super tóxica", admiten.		
two_characters	rosa	SIGUIENTE VIDA		[1] ha pagado para ser congelado cuando muera. [2] ofrece el uso de un refrigerador industrial de forma gratuita.		
two_characters	amarillo	PROBLEMAS CON EL COCHE		[1] varado después de que [2] se llevase a casa el F3rrari equivocado.		
two_characters	violeta	SEGUNDOS DEPORTES		[1] y [2] se registran como equipo de dobles para el intercolegial de Tenis de Curuzú Cuatiá.		
two_characters	rosa	COMPARTIR NOMBRES		[1] está considerando cambiar su nombre a [2]. ¡[2] no está contento!		
two_characters	rosa	DOS POR EL PRECIO DE UNO		[1] se niega a aceptar la transferencia a un nuevo equipo si no toman también a [2].		
two_characters	violeta	LOS PADRES SE SEPARAN		[1] y [2] discuten sobre la custodia del niño adoptado.		
stats	amarillo	JUGADOR DEL PARTIDO			goleador	
stats	verde	MÁS AGRESIVO			agresividad	
caja_1_medio	violeta	GRACIAS A FULBO, [1] RECUPERÓ SU SONRISA		Dientes bien cuidados. ¡Felicidades!		
caja_1_medio	rosa	"CADA DÍA MEJORO"		¡La estrella está mejorando su rendimiento gracias a sus estadísticas!		
caja_1_medio	rosa	[1] DIJO QUE YA ES SUFICIENTE		El futbolista no quiere que los hinchas tiren caca y/o corchos de sidra al campo.		
caja_1_medio	rosa	[1] DIÓ POSITIVO EN LA PRUEBA ANTIDOPPING		Afortunadamente en Fulbo Stars esto no tiene ninguna gravedad, tal como se nota al ver la cancha.		
caja_1_medio	rosa	[1]: ¿ESPÍA?		Parece que la estrella está vendiendo información a los equipos rivales.		
caja_1_medio	rosa	[1] NO LE TEME AL ÉXITO		La celebridad adopta poses de poder antes de comenzar cada combate.		
caja_1_medio	rosa	"ES UNA PENA"		El futbolista está sacado por el mal desempeño de los rivales.		
caja_1_medio	rosa	[1] QUIERE TENER HIJOS		La estrella del fútbol planea retirarse para ampliar la familia.		
caja_1_medio	rosa	[1] NOMINADO A MEJOR JUGADOR		La estrella tiene posibilidades de ganar la Almeja de Oro al Mejor Jugador Fulbo.		
caja_1_medio	rosa	"QUIERO MARCAR MÁS GOLES"		El futbolista habló sobre su próximo partido.		
caja_1_medio	rosa	[1] QUIERE ABANDONAR EL EQUIPO		La estrella está cansada de estar en el banquillo.		
caja_1_medio	rosa	"QUIERO UN EQUIPO IGUALITARIO"		El futbolista es un aliado feminista y quiere revolucionar el fútbol.		
caja_1_medio	rosa	JUEGO PARA UN JUGADOR		Todos y cada uno de los jugadores en el campo recibieron una tarjeta roja anoche, lo que no dejó a los árbitros otra opción que suspender el partido. [1] se quedaron para entretener a la multitud con toques de balón.		
caja_1_medio	rosa	NO TODOS LOS MILAGROS SON IGUALES		Anoche se produjo un milagro en el Rio De Jamaica Arena. [1] anotaron cuatro goles en los últimos cinco minutos del partido. Aun así, perdieron 6-4.		
caja_1_medio	rosa	UN NUEVO OBJETIVO		Confiado por el cariño que recibe del público, el delantero estrella, [1], ha decidido postularse para Presidente del Mundo.		
caja_1_medio	rosa	AVES CON HUEVOS		Una bandada de gaviotas graznantes descendió anoche sobre el estadio de Río de Jamaica. [1] dijo a los periodistas que el ruido adicional de la multitud realmente ayudó al equipo a ganar.		
caja_1_medio	rosa	PARA REFLEXIONAR		[1] Comió treinta y una hamburguesas con queso antes del gran partido de anoche y, tras sufrir una humillante derrota por 6-0, dijo: "Quizás debería haberme detenido en treinta".		
caja_1_medio	rosa	TUMBA TUMBERA		¿Están embrujados los vestuarios del Maximum Security FC? [1] insiste en que ha visto fantasmas de jugadores que cumplen condenas a muerte.		
caja_1_medio	rosa	BILARDISMO SIN PROYECCIÓN		¡[1] Simula su propia muerte para retrasar el inicio del partido!		
caja_1_medio	rosa	ENLACES A LA LOCURA		[1] besa salchichas crudas para tener suerte antes de cada juego.		
caja_1_medio	rosa	DÍA PERRÓNICO		El día de llevar a tu mascota al trabajo salió mal cuando [1] llegó con 36 PERROS.		
caja_1_medio	rosa	HONESTIDAD ENTRE LOS HINCHAS		Los fanáticos de [1] inventaron un cántico simplemente para informarle que tenía mala higiene personal.		
caja_1_medio	rosa	EL GRAN DÍA		[1] puso a la venta 10.000 entradas para su próxima boda y los ansiosos fans las agotaron en minutos.		
caja_1_medio	rosa	DINERO A DINERO		Solo dos días después de firmar un nuevo y lucrativo contrato, [1] ha ganado más de un millón de dólares en la lotería estatal.		
caja_1_medio	rosa	RÉCORD DE TARJETAS ROJAS		¡Faltas súper rápidas provocaron triple tarjeta roja para [1]!		
caja_1_medio	rosa	DESPELOTE MULTIVERSAL		Un error en la transferencia de jugadores provoca que [1] jueguen para ambos equipos en el mismo partido.		
caja_1_medio	rosa	¿QUIÉNES FORMAN PARTE DEL EQUIPO?		El periódico filtra fotografías que prueban que [1] no es el verdadero [1].		
caja_1_medio	rosa	OVNI PERDIDO		Toda una multitud se perdió la aparición de un OVNI mientras veía un gol espectacular [1].		
caja_1_medio	rosa	HINCHA ARRESTADO		[1] sufre robo de identidad tras dar un autógrafo a un fan.		
caja_1_medio	rosa	SIN VIDAS		Gato que arañó a [1] durante un partido de liga encontrado muerto.		
caja_1_medio	rosa	SALVARSE POR UN PELO		Los estudios muestran que los jugadores con vello corporal ganan más partidos. [1] se niega a afeitarse de nuevo.		
caja_1_medio	rosa	"¡SOY UN ALIENÍGENA!"		El análisis de ADN revela que [1] es 12% marciano.		
caja_1_medio	rosa	NO SABÍA QUE NO VALÍA		[1] se enfrenta a una sanción de la liga tras utilizar un doble robótico.		
caja_1_medio	rosa	VISIÓN EMPRESARIAL		[1] invierte en una empresa que crea loción para después del afeitado con aroma a hamburguesa.		
caja_1_medio	rosa	EN UN APURO		El intento de nuevo récord mundial fracasó después de que [1] comiera solo 20 pepinillos en 1 minuto.		
caja_1_medio	rosa	UN MUNDO FELIZ		¿Podría [1] dejar la liga para dedicarse a las MMA?		
caja_1_medio	rosa	¡25 GOLES PARA [1]!		¿Y lo mejor está aún por llegar?		
caja_1_medio	rosa	LOCURA DE MARZO		Jugadores fotografiados uniéndose accidentalmente a una manifestación contra Fulbo.		
caja_1_medio	rosa	[1] ¿PROHIBIDO DE POR VIDA?		Demasiadas peleas en un bar local acaban en los tribunales.		
caja_1_medio	rosa	DESARROLLO DETENIDO		Jugadores detenidos durante un entrenamiento después de que la policía recibiera una denuncia falsa.		
caja_1_medio	rosa	VENTAJA DE JUGAR EN CASA		[1] compra propiedades cerca de todos los estadios de la liga.		
win	azul	¡GANASTE [sobres] SOBRE/S!		¡Ábrelo para ganar nuevos jugadores, oro o mejoras!	played	
