cup	level	tier	Fulbo Win Prize	Cancha ID  0= Fulbo Stadium.  1= Cementerio.  2= Playa.	Size	My Team Qty	Equipo	ID Players	ID GK	referi_id	Tiempo de juego	Positions	coin price	abreviacion (name)	color remera 1	color remera 2	color shorts	color shoes	pinball	designID (pattern)	diseño escudo (shape)	logo (icon)	GK - ACCURACY	GK - STAMINA	GK - SPEED	GK - DEXTERITY	GK - TRICKERY	DEF - ACCURACY	DEF - STAMINA	DEF - SPEED	DEF - DEXTERITY	DEF - TRICKERY	MID - ACCURACY	MID - STAMINA	MID - SPEED	MID - DEXTERITY	MID - TRICKERY	FOR - ACCURACY	FOR - STAMINA	FOR - SPEED	FOR - DEXTERITY	FOR - TRICKERY	Duels_players	Duels_GK	idle Delay	TOTAL STATS (NO TOCAR)	True Power	GK TOTAL	DEF TOTAL	MID TOTAL	FOR TOTAL	GK%	DEF%	MID%	FOR%	GK - ACCURACY	GK - STAMINA	GK - SPEED	GK - DEXTERITY	GK - TRICKERY	DEF - ACCURACY	DEF - STAMINA	DEF - SPEED	DEF - DEXTERITY	DEF - TRICKERY	MID - ACCURACY	MID - STAMINA	MID - SPEED	MID - DEXTERITY	MID - TRICKERY	FOR - ACCURACY	FOR - STAMINA	FOR - SPEED	FOR - DEXTERITY	FOR - TRICKERY
30	31	2	0	1	medium	8	Wasteland Slashers	128,65,15,2,98,79,52	10	2	120	4	13	PAS	naranja	naranja	blanco	mandarina	0	3	1	13	9	9	9	9	9	6	9	18	9	18	5	14	7	7	14	7	5	7	14	14	0	0	25	253	195	45	60	45	45	20%	40%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
30	32	2	0	1	medium	8	Horror Party	134,135,132,128,129,130,127	10	6	120	4	17	HP	naranja	rosa	celeste	mandarina	0	1	2	18	12	12	12	12	12	6	18	9	18	9	12	12	12	12	12	12	12	12	12	12	0	0	20	292	240	60	60	60	60	25%	25%	25%	25%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
30	33	2	0	1	medium	8	Mooners	68,70,72,69,71,73,90	20	7	120	1	21	MN	blanco	blanco	celeste	blanco	0	2	1	19	11	23	11	8	23	6	18	9	18	9	13	13	13	13	13	20	7	20	10	10	0	0	20	345	265	75	60	65	65	40%	20%	20%	20%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
30	34	2	0	1	medium	8	Doom & Gloom	81,54,61,60,56,58,59	6	6	120	5	15	OE	violeta	negro	violeta	negro	0	3	1	4	11	21	11	7	21	13	13	13	13	13	7	11	21	21	11	24	8	24	12	12	0	0	20	380	285	70	65	70	80	20%	20%	20%	40%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
40	40	2	0	2	medium	8	Bay Guards	145,146,147,149, 39, 107, 101	21	6	120	2	24	BG	blanco	negro	blanco	negro	0	2	1	1	30	15	10	30	15	10	30	15	30	15	15	45	23	23	45	15	10	15	30	30	0	0	25	502	451	100	100	150	100	20%	20%	40%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
40	41	2	0	2	medium	8	Medano Stalkers	138,120,79,52,39,4,35	24	5	120	0	26	MF	blanco	violeta	blanco	violeta	0	3	1	3	21	21	21	21	21	15	23	45	23	45	10	31	16	16	31	16	10	16	31	31	0	0	25	523	464	105	150	105	105	20%	40%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
40	42	2	0	2	medium	8	Armed Civilians FC	6,25,65,98,128,129,63	9	2	120	5	27	AC	rojo	violeta	negro	rojo	0	1	1	5	24	24	24	24	24	11	32	16	32	16	27	27	27	27	27	27	27	27	27	27	0	0	20	546	498	120	105	137	137	25%	25%	25%	25%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
40	43	2	0	2	medium	8	Amazonia All Grrrlz	4,6,95,50,54,43,19	5	6	120	35	35	AAG	naranja	rosa	rosa	naranja	0	2	2	6	23	45	23	15	45	11	34	17	34	17	23	23	23	23	23	34	11	34	17	17	0	0	20	571	493	150	114	114	114	40%	20%	20%	20%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
40	44	2	0	2	medium	8	Rainbow Guerrilla	102,103,104,105,106,107,108	8	5	120	0	37	RG	celeste	negro	blanco	celeste	0	3	1	8	24	47	24	16	47	25	25	25	25	25	13	19	38	38	19	45	15	45	23	23	0	0	20	628	558	157	126	126	150	25%	20%	20%	35%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
50	50	2	0	5	medium	8	Hairdressers' Sons	10,49,50,59,75,116,127	7	5	120	2	10	HS	rosa	azul	negro	negro	0	1	4	8	39	20	13	39	20	13	39	20	39	20	15	45	23	23	45	20	13	20	39	39	0	0	20	656	544	131	131	150	131	20%	20%	40%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
50	51	2	0	5	medium	8	Tufo & Barullo FC	130, 134, 136, 135, 147, 125, 111	15	5	120	3	17	TB	verde	azul	negro	verde	0	2	1	1	27	27	27	27	27	18	27	54	27	54	14	41	21	21	41	21	14	21	41	41	0	0	20	683	590	137	180	137	137	20%	40%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
50	52	2	0	5	medium	8	Bolu2 Team	7,12,13,14,20,22,23	2	2	120	2	30	BT	verde	verde	verde	verde	0	3	3	12	30	30	30	30	30	18	53	27	53	27	36	36	36	36	36	30	30	30	30	30	0	0	15	713	657	150	178	178	150	25%	25%	25%	25%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
50	53	2	0	5	medium	8	Locked Saviors	148,128,113,108,107,76,6	6	1	120	3	37	LS	amarillo	verde	amarillo	negro	0	1	1	4	27	54	27	18	54	15	45	23	45	23	30	30	30	30	30	56	19	56	28	28	0	0	15	745	665	180	150	149	186	35%	20%	20%	25%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
50	54	2	0	4	medium	8	Guerrilla Squad	77,79,119,117,90,6,28	2	1	120	2	57	GS	azul	negro	amarillo	rojo	0	2	1	14	29	57	29	19	57	33	33	33	33	33	16	25	49	49	25	57	19	57	29	29	0	0	15	820	708	190	164	164	190	25%	20%	20%	35%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
60	60	2	0	2	medium	8	Party Hard Destroyers	113,112,106,103,111,108,109	21	7	120	6	47	HP	violeta	amarillo	violeta	amarillo	0	2	3	12	63	32	21	63	32	22	65	32	65	32	25	75	38	38	75	38	25	38	75	75	0	0	20	950	925	210	215	250	250	22%	22%	30%	26%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
60	61	2	0	5	medium	8	Peruvian Friday	147,139,134,133,129,126,117	19	5	120	6	33	PF	rojo	violeta	violeta	rojo	0	2	2	14	50	50	50	50	50	25	38	75	38	75	22	66	33	33	66	35	23	35	69	69	0	0	20	991	950	250	250	220	230	25%	30%	22%	23%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
60	62	2	0	0	medium	8	Soul Street Sisters	92,43,94,107,95,105,97	3	2	120	26	20	SSS	mandarina	negro	celeste	negro	0	2	1	16	52	52	52	52	52	26	78	39	78	39	52	52	52	52	52	50	50	50	50	50	0	0	15	1036	1027	259	259	259	250	25%	25%	25%	25%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
60	63	2	0	1	medium	8	Everyone's Favorites	1, 7, 28, 37, 40, 44, 51	3	5	120	5	13	EF	blanco	negro	negro	verde	0	3	3	18	45	90	45	30	90	24	72	36	72	36	54	54	54	54	54	75	25	75	37	37	0	0	15	1086	1060	300	239	271	250	30%	22%	25%	23%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
60	64	2	0	4	medium	8	Wholesome Eleven	136,137,141,143,128,100,82	4	7	120	1	9	WE	rojo	blanco	blanco	rojo	0	1	4	20	43	86	43	29	86	50	50	50	50	50	25	38	75	75	38	90	30	90	45	45	0	0	15	1140	1086	285	250	251	300	25%	25%	22%	28%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
70	70	2	0	1	medium	8	Los Muertos	129, 130, 131, 132, 133, 85, 86	18	2	120	0	12	LM	rosa	violeta	blanco	violeta	0	2	4	14	55	55	55	55	55	55	55	55	55	55	60	60	60	60	60	65	65	65	65	65	0	0	20	1257	1180	276	276	300	327	22%	22%	30%	26%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
70	71	2	0	0	medium	8	Hibernating Bears	120,67,66,60,56,53,147	11	1	120	4	33	HB	bordo	negro	blanco	bordo	0	3	1	17	66	66	66	66	66	60	60	60	60	60	58	58	58	58	58	60	60	60	60	60	0	0	20	1311	1218	328	300	288	302	25%	30%	22%	23%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
70	72	2	0	0	medium	8	The Beasties	83,150,142,93,35,125,114	17	6	120	0	26	TB	bordo	rojo	verde	negro	0	3	1	11	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	0	0	15	1371	1371	343	343	343	343	25%	25%	25%	25%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
70	73	2	0	4	medium	8	Random League	4,6,8,30,100,109,111	5	3	120	3	24	RLG	blanco	blanco	blanco	blanco	0	3	1	2	64	64	64	64	64	63	63	63	63	63	64	64	64	64	64	66	66	66	66	66	0	0	15	1436	1286	320	316	320	330	30%	22%	25%	23%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
70	74	2	0	5	medium	8	Trap and Drinks	34,46,39,44,22,32,52	11	7	120	6	19	TD	amarillo	rosa	naranja	blanco	0	1	2	20	75	75	75	75	75	75	75	75	75	75	60	60	60	60	60	68	68	68	68	68	0	0	15	1508	1396	377	377	302	340	25%	25%	20%	30%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
80	80	2	0	1	medium	8	Sexy Fallout Clan	114, 117, 118, 97, 98, 91, 90	4	6	120	2	15	SFC	verde	amarillo	amarillo	verde	0	2	3	1	61	61	61	61	61	61	61	61	61	61	84	84	84	84	84	73	73	73	73	73	0	0	20	1397	1397	307	307	419	363	22%	22%	30%	26%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
80	81	2	0	1	medium	8	Sacre Bleu Oui Oui	140,136,134,125, 24,62,82	14	5	120	6	11	SBOO	negro	rosa	negro	rosa	0	3	2	16	73	73	73	73	73	87	87	87	87	87	64	64	64	64	64	67	67	67	67	67	0	0	20	1458	1458	364	437	321	335	25%	30%	22%	23%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
80	82	2	0	1	medium	8	Shady Outsiders FC	123, 124, 80, 74, 78, 55, 57	8	2	120	4	14	SO	blanco	rojo	rojo	negro	0	1	5	13	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	0	0	15	1524	1524	381	381	381	381	25%	25%	25%	25%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
80	83	2	0	5	medium	8	Urban Prowlers FC	95, 89, 108, 107, 102, 110,12	5	7	120	3	16	UP	naranja	amarillo	blanco	naranja	0	2	4	7	96	96	96	96	96	70	70	70	70	70	80	80	80	80	80	73	73	73	73	73	0	0	15	1596	1596	479	351	399	367	30%	22%	25%	23%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
80	84	2	0	4	medium	8	Time Tellers	139, 141, 142, 144, 6, 7, 24	1	6	120	3	13	TT	rojo	negro	amarillo	blanco	0	1	1	2	87	87	87	87	87	84	84	84	84	84	67	67	67	67	67	97	97	97	97	97	0	0	15	1676	1676	436	419	335	486	26%	25%	20%	29%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
90	90	2	0	2	medium	8	Doomed Presidents	26,27,29,16,144,3,40	15	2	120	4	36	DP	mandarina	amarillo	mandarina	amarillo	0	3	1	5	66	66	66	66	66	66	66	66	66	66	90	90	90	90	90	78	78	78	78	78	0	0	20	1492	1492	328	328	448	388	22%	22%	30%	26%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
90	91	2	0	2	medium	8	Fantastic Couples	8,3,27,40,31,57,32	1	2	120	3	37	FC	celeste	amarillo	rosa	blanco	0	2	3	20	78	78	78	78	78	93	93	93	93	93	69	69	69	69	69	72	72	72	72	72	0	0	20	1557	1557	389	467	343	358	25%	30%	22%	23%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
90	92	2	0	0	medium	8	Golden Eyes	50,54,49,10,12,1,24	8	1	120	35	29	GE	amarillo	blanco	naranja	blanco	0	2	3	15	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	0	0	15	1628	1628	407	407	407	407	25%	25%	25%	25%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
90	93	2	0	1	medium	8	Newly Single FC	19,25,81,88,137,144,127	10	3	120	0	23	NWS	blanco	rojo	negro	rojo	0	3	1	8	99	99	99	99	99	78	78	78	78	78	85	85	85	85	85	78	78	78	78	78	0	0	15	1705	1705	495	392	426	392	29%	23%	25%	23%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
90	94	2	0	5	medium	8	Hungry Rebellion	138,79,78,52,37,5,59	9	6	120	3	10	HR	violeta	negro	violeta	verde	0	3	3	9	97	97	97	97	97	93	93	93	93	93	72	72	72	72	72	97	97	97	97	97	0	0	15	1790	1790	483	466	358	483	27%	26%	20%	27%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
100	100	2	0	4	medium	8	Hungry Rebellion	138,79,78,52,37,5,59	9	6	120	3	10	HR	violeta	negro	violeta	verde	0	3	3	19	78	78	78	78	78	85	85	85	85	85	99	99	99	99	99	92	92	92	92	92	0	0	15	1764	1764	388	423	494	459	22%	24%	28%	26%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
100	101	2	0	4	medium	8	Veintidos Patas Team	12, 9, 13, 20, 23, 33, 29	17	2	120	5	20	VP	amarillo	azul	azul	amarillo	0	1	2	4	90	90	90	90	90	97	97	97	97	97	90	90	90	90	90	83	83	83	83	83	0	0	15	1797	1797	449	485	449	413	25%	27%	25%	23%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
100	102	2	0	4	medium	8	Suit To Kill FC	72,142,73,35,64,119,120	12	5	120	3	31	STK	blanco	mandarina	negro	negro	0	1	2	14	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	0	0	10	1832	1832	458	458	458	458	25%	25%	25%	25%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
100	103	2	0	4	medium	8	Tough People	135,132,112,90,82,91,96	2	7	120	5	34	TP	naranja	negro	naranja	negro	0	1	4	8	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	0	0	10	1867	1867	467	467	467	467	25%	25%	25%	25%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
100	104	2	0	4	medium	8	Red Awareness FC	133,140,109,104,101,3,99	14	3	120	4	48	RA	rojo	rojo	rojo	rojo	0	3	2	15	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	0	0	10	1905	1905	476	476	476	476	25%	25%	25%	25%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
